CB代號,CB名稱,個股現價,轉換價格,餘額比例(%),距轉換價差距(%),已發行/近期上市
66831,雍智一,1130.0,1127.1,100,0.26,已發行CB
12561,鮮活果汁一KY,182.0,182.5,99.15,-0.27,已發行CB
44391,冠星一KY,96.0,96.3,97.42,-0.31,已發行CB
26418,正德八,18.9,18.82,92.08,0.43,已發行CB
69041,伯鑫一,124.0,124.7,100,-0.56,已發行CB
61794,亞通四,27.4,27.6,78.3,-0.72,已發行CB
64725,保瑞五,470.0,473.5,100,-0.74,已發行CB
24867,一詮七,258.0,256.0,100,0.78,已發行CB
82103,勤誠三,965.0,975.6,100,-1.09,已發行CB
52845,jpp五KY,322.0,318.5,100,1.1,已發行CB
33763,新日興三,189.0,191.1,99.21,-1.1,已發行CB
66034,富強鑫四,26.25,26.63,100,-1.43,已發行CB
64251,易發一,58.8,57.9,15.55,1.55,已發行CB
30454,台灣大四,115.5,113.5,99.71,1.76,已發行CB
81553,博智三,324.0,318.0,100,1.89,已發行CB
84762,台境二,19.9,19.5,90,2.05,已發行CB
61012,寬魚國際二,38.0,38.9,71.16,-2.31,已發行CB
33247,雙鴻七,1065.0,1092.5,100,-2.52,已發行CB
76311,聚賢研發一創,147.0,150.8,100,-2.52,近期上市
76311,聚賢研發一創,147.0,150.8,100,-2.52,已發行CB
62822,康舒二,44.0,45.2,99.92,-2.65,已發行CB
68211,聯寶一,41.05,42.19,41.5,-2.7,已發行CB
35161,亞帝歐一,26.35,25.62,100,2.85,已發行CB
61011,寬魚國際一,38.0,36.9,96.8,2.98,已發行CB
82102,勤誠二,965.0,997.3,100,-3.24,已發行CB
41904,佐登四KY,25.25,26.1,100,-3.26,已發行CB
14722,三洋實業二,88.8,91.9,100,-3.37,已發行CB
36806,家登六,461.5,478.9,100,-3.63,已發行CB
68692,雲豹能源二,67.6,70.2,100,-3.7,已發行CB
64724,保瑞四,470.0,488.2,100,-3.73,已發行CB
22363,百達三KY,122.5,118.1,22.80,3.73,已發行CB
66702,復盛應用二,264.0,254.5,100,3.73,已發行CB
84113,福貞三KY,12.7,13.2,100,-3.79,已發行CB
35513,世禾三,175.5,168.8,100,3.97,已發行CB
45811,光隆精密一KY,48.2,50.2,100,-3.98,已發行CB
81552,博智二,324.0,338.0,100,-4.14,已發行CB
33246,雙鴻六,1065.0,1111.3,100,-4.17,已發行CB
61777,達麗七,48.05,46.1,99.9,4.23,已發行CB
811211,至上11,94.0,90.1,100,4.33,已發行CB
66292,泰金二KY,110.5,115.5,97.43,-4.33,已發行CB
23032,聯電二,125.0,130.7,100,-4.36,近期上市
15142,亞力二,100.5,105.1,100,-4.38,已發行CB
53097,系統電七,52.2,54.6,99.08,-4.4,已發行CB
15602,中砂二,677.0,708.3,100,-4.42,近期上市
27532,八方雲集二,188.5,197.3,100,-4.46,已發行CB
24023,毅嘉三,55.8,53.3,100,4.69,已發行CB
77131,威力德生醫一,72.9,69.6,100,4.74,已發行CB
36805,家登五,461.5,484.7,100,-4.79,已發行CB
24643,盟立三,193.0,202.8,100,-4.83,近期上市
