排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,軍工_航太製造與維修,2.2,100.0,6/6,1.54,-0.86,-0.58,-0.6
2,軍工_無人機相關,2.33,100.0,8/8,46.79,31.58,-21.92,-17.32
3,記憶體製造,5.04,100.0,4/4,97.92,-99.2,4.9,-40.8
4,記憶體模組,3.27,100.0,7/7,11.04,-7.06,1.56,1.98
5,TPU_散熱,3.3,100.0,4/4,-15.48,16.02,1.24,-10.66
6,記憶體封裝與測試,2.94,100.0,4/4,6.71,7.89,-2.21,-4.74
7,光學元件或組裝,5.51,100.0,15/15,-26.68,15.09,10.43,-18.86
8,半導體設備,2.64,100.0,7/7,-0.07,4.19,0.1,-2.29
9,電池或電源,1.7,95.0,19/20,-18.36,5.57,11.71,-3.37
10,被動元件,2.42,94.74,18/19,-40.91,4.94,13.89,-9.95
11,航運,1.32,93.33,14/15,15.21,-5.84,4.28,20.14
12,PCB,2.87,93.33,14/15,0.2,-22.33,-10.81,-10.69
13,電器電纜,0.72,90.0,9/10,0.53,-2.58,1.18,0.59
14,玻璃,2.52,86.67,13/15,-14.46,-38.48,-5.19,9.48
15,BBU_電池模組,1.7,85.71,6/7,-0.75,-4.09,0.91,2.67
16,機器人,1.82,85.71,12/14,-20.36,-2.92,10.69,-6.4
17,低軌衛星,3.24,85.71,6/7,-5.63,-11.73,-0.77,-2.12
18,IC設計,2.21,84.62,11/13,31.83,3.81,-20.97,9.72
19,塑膠,0.59,83.33,15/18,-25.02,-96.23,8.16,14.28
20,CPO_光通訊,5.01,83.33,5/6,-41.23,-29.36,11.7,2.68
21,TPU_伺服器主板與印刷電路板,2.07,80.0,4/5,-11.97,4.93,-11.15,-28.37
22,CPO_先進封裝測試,2.59,80.0,4/5,4.29,8.46,-3.46,-12.08
23,BBU_電源供應器與整合,1.39,80.0,4/5,-17.81,11.99,9.46,-7.66
24,網通設備組件,3.32,80.0,16/20,1.34,-4.05,-9.15,-24.62
25,記憶體控制IC,2.23,80.0,4/5,5.67,-6.39,0.1,0.11
26,金融,0.54,78.95,15/19,-25.02,-96.23,8.16,14.28
27,TPU_光通訊與連接器,2.54,75.0,3/4,-34.85,-18.13,9.01,-3.48
28,工業自動化與機器人,1.01,71.43,5/7,-3.72,-17.5,0.02,0.37
29,銅,1.58,70.0,7/10,2.12,-64.55,-3.13,-4.08
30,化學,0.37,60.0,12/20,-26.58,-105.35,7.29,11.78
31,無塵室與機電工程,2.1,60.0,3/5,2.49,8.62,-1.42,-2.72
32,軟體設計,0.36,53.33,8/15,-0.71,-3.04,-0.0,0.09
33,鋼鐵,0.77,53.33,8/15,-8.26,-32.33,-1.77,0.34
34,紡織,0.01,50.0,10/20,-2.63,-4.3,-0.38,-1.8
35,銀,-0.85,50.0,2/4,-34.14,-19.12,3.8,-1.24
36,廠務系統與水處理,-0.06,42.86,3/7,-0.62,-0.43,0.0,0.05
37,造紙,0.1,42.86,3/7,-0.03,-0.21,-0.03,-0.1
