排名,股票代碼,公司名稱,公司產業,上市櫃,5天正天數,今日主力買超(張),5日累積買超(張)
1,2412,中華電,通信網路業,上市,5,6393,26022
2,2892,第一金,金融保險業,上市,5,2551,22956
3,6147,頎邦,半導體業,上櫃,3,16778,17704
4,2891,中信金,金融保險業,上市,4,14429,13865
5,2880,華南金,金融保險業,上市,4,2223,11765
6,2382,廣達,電腦及週邊設備業,上市,4,736,10098
7,3702,大聯大,電子通路業,上市,5,531,8495
8,3105,穩懋,半導體業,上櫃,3,5208,8436
9,5876,上海商銀,金融保險業,上市,4,1287,7555
10,6226,光鼎,光電業,上市,3,3932,6730
11,3042,晶技,電子零組件業,上市,4,2253,6185
12,3045,台灣大,通信網路業,上市,5,2076,5891
13,2887,台新金,金融保險業,上市,3,625,5737
14,8227,巨有科技,半導體業,上櫃,5,312,5113
15,1102,亞泥,水泥工業,上市,5,803,4963
16,2371,大同,電機機械,上市,5,1587,4084
17,2897,王道銀行,金融保險業,上市,4,13,3981
18,2820,華票,金融保險業,上市,4,264,3814
19,6168,宏齊,光電業,上市,4,40,3029
20,5904,寶雅,居家生活,上櫃,4,651,2667
21,2468,華經,資訊服務業,上市,5,1441,2618
22,5483,中美晶,半導體業,上櫃,3,2064,2137
23,4904,遠傳,通信網路業,上市,5,579,2130
24,2606,裕民,航運業,上市,4,6,1586
25,2474,可成,其他電子業,上市,5,48,1553
26,2395,研華,電腦及週邊設備業,上市,4,722,1447
27,6218,豪勉,通信網路業,上櫃,4,1337,1417
28,6148,驊宏資,資訊服務業,上櫃,5,769,1379
29,6271,同欣電,半導體業,上市,3,444,1238
30,6548,長科*,半導體業,上櫃,4,178,1185
31,6213,聯茂,電子零組件業,上市,3,531,1057
32,2329,華泰,半導體業,上市,4,122,877
33,2905,三商,貿易百貨業,上市,4,216,875
34,2484,希華,電子零組件業,上市,3,568,869
35,4961,天鈺,半導體業,上市,4,251,834
36,2520,冠德,建材營造業,上市,5,111,759
37,6672,騰輝電子-KY,電子零組件業,上市,3,511,745
38,6221,晉泰,資訊服務業,上櫃,3,379,717
39,8936,國統,其他業,上櫃,5,119,617
40,6021,美好證,金融保險業,上櫃,5,61,596
41,6715,嘉基,電子零組件業,上市,3,488,580
42,4123,晟德,生技醫療業,上櫃,5,72,572
43,9958,世紀鋼,鋼鐵工業,上市,3,28,556
44,9941,裕融,其他業,上市,4,59,544
45,3014,聯陽,半導體業,上市,5,74,519
46,5469,瀚宇博,電子零組件業,上市,5,52,509
47,2347,聯強,電子通路業,上市,4,42,506
48,6683,雍智科技,半導體業,上櫃,4,512,481
49,6538,倉和,電子零組件業,上櫃,4,28,405
50,2206,三陽工業,汽車工業,上市,5,98,395
51,6199,天品,其他業,上櫃,4,113,384
52,4119,旭富,生技醫療業,上市,5,72,382
53,6811,宏碁資訊,數位雲端,上櫃,3,28,380
54,6962,ITH-KY,半導體業,上市,4,35,366
55,8050,廣積,電腦及週邊設備業,上櫃,4,137,358
56,6743,安普新,其他電子業,上市,5,97,334
57,6122,擎邦,電機機械,上櫃,4,63,265
58,2915,潤泰全,貿易百貨業,上市,4,80,258
59,3047,訊舟,通信網路業,上市,4,14,252
60,3712,永崴投控,電腦及週邊設備業,上市,5,22,240
61,1907,永豐餘,造紙工業,上市,5,15,235
62,1558,伸興,電機機械,上市,5,32,230
63,5434,崇越,電子通路業,上市,4,37,225
64,3023,信邦,電子零組件業,上市,5,2,223
65,6196,帆宣,其他電子業,上市,3,154,222
66,6805,富世達,電子零組件業,上市,4,20,215
67,3577,泓格,電腦及週邊設備業,上櫃,5,5,201
68,3623,富晶通,光電業,上櫃,4,67,198
69,3021,鴻名,電子零組件業,上市,4,116,189
70,2480,敦陽科,資訊服務業,上市,4,121,187
71,6526,達發,半導體業,上市,5,15,174
72,2536,宏普,建材營造業,上市,4,3,173
73,2493,揚博,電子零組件業,上市,4,62,167
74,3357,臺慶科,電子零組件業,上櫃,4,58,164
75,6155,鈞寶,電子零組件業,上市,3,40,159
76,8021,尖點,其他電子業,上市,3,9,156
77,8931,大汽電,油電燃氣業,上櫃,3,7,156
78,3059,華晶科,光電業,上市,3,155,152
79,3402,漢科,其他電子業,上櫃,4,14,150
80,8464,億豐,居家生活,上市,4,50,141
81,1734,杏輝,生技醫療業,上市,5,51,135
82,6101,寬魚國際,文化創意業,上櫃,5,33,124
83,6175,立敦,電子零組件業,上櫃,4,11,108
84,2607,榮運,航運業,上市,4,16,104
85,6576,逸達,生技醫療業,上櫃,5,4,100
