排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,被動元件,4.53,78.95,15/19,-50.22,-83.19,1.33,8.93
2,航運,1.01,73.33,11/15,21.05,-3.26,-19.52,16.0
3,廠務系統與水處理,1.81,57.14,4/7,1.47,6.88,-0.01,-0.03
4,光學元件或組裝,-0.37,53.33,8/15,-18.66,-4.65,-2.98,14.67
5,CPO_光通訊,-0.34,50.0,3/6,2.43,30.19,0.8,7.16
6,銀,1.2,50.0,2/4,-6.89,-102.03,2.75,4.23
7,PCB,-0.35,46.67,7/15,-9.25,52.11,-30.78,-91.66
8,鋼鐵,-0.18,46.67,7/15,4.82,21.83,-3.93,-11.65
9,工業自動化與機器人,-1.33,42.86,3/7,-0.82,1.35,-0.03,-1.74
10,TPU_伺服器主板與印刷電路板,-1.33,40.0,2/5,-3.57,67.38,-10.99,-34.93
11,軟體設計,-0.36,33.33,5/15,1.27,4.25,-0.02,0.41
12,IC設計,-1.56,30.77,4/13,38.09,61.79,-16.89,-82.66
13,網通設備組件,-1.37,30.0,6/20,-19.5,41.99,12.79,8.66
14,化學,-1.82,30.0,6/20,-9.19,14.39,8.27,24.07
15,低軌衛星,-0.63,28.57,2/7,-40.29,-91.94,4.5,-2.9
16,TPU_光通訊與連接器,-0.96,25.0,1/4,-10.56,18.93,5.99,18.73
17,TPU_散熱,-2.41,25.0,1/4,-21.6,13.68,-2.5,10.73
18,軍工_無人機相關,-2.29,22.22,2/9,12.04,54.72,-4.35,-59.77
19,記憶體控制IC,-4.36,20.0,1/5,-0.95,-17.88,-0.02,0.22
20,電池或電源,-4.24,20.0,4/20,-78.32,40.99,-9.58,-31.03
21,銅,-2.91,20.0,2/10,0.12,-15.09,10.93,26.34
22,無塵室與機電工程,-1.77,20.0,1/5,26.52,101.17,-6.95,-42.83
23,CPO_先進封裝測試,-1.1,20.0,1/5,1.99,38.19,-1.49,-3.89
24,軍工_航太製造與維修,-0.32,16.67,1/6,-0.56,-1.2,-0.01,0.0
25,紡織,-1.52,15.0,3/20,-8.1,-21.0,7.31,14.67
26,造紙,-0.8,14.29,1/7,0.34,0.09,-0.0,-0.01
27,BBU_電池模組,-3.12,14.29,1/7,-0.51,13.85,-6.83,-21.99
28,機器人,-2.67,14.29,2/14,-65.65,-27.9,-1.54,2.96
29,半導體設備,-1.46,14.29,1/7,1.53,9.47,5.14,7.75
30,玻璃,-1.77,13.33,2/15,-23.97,4.7,-7.55,-22.04
31,塑膠,-1.86,11.11,2/18,1.56,37.22,1.03,8.83
32,金融,-1.86,10.53,2/19,1.56,37.22,1.03,8.83
33,記憶體製造,-7.66,0.0,0/4,-87.46,-305.47,-16.73,-9.23
34,記憶體模組,-7.2,0.0,0/7,-44.17,-75.09,-40.41,-82.78
35,記憶體封裝與測試,-3.74,0.0,0/4,9.79,17.92,-15.69,-49.07
36,BBU_電源供應器與整合,-5.71,0.0,0/5,-57.81,31.79,-1.34,-3.07
37,電器電纜,-7.12,0.0,0/10,-25.04,-10.32,0.14,0.55
