排名,股票代碼,公司名稱,公司產業,上市櫃,今日主力買超(張),5日累積買超(張)
1,2887,台新金,金融保險業,上市,46792,220808
2,3481,群創,光電業,上市,-5731,148898
3,2883,凱基金,金融保險業,上市,25965,108078
4,3231,緯創,電腦及週邊設備業,上市,-42534,100525
5,1303,南亞,塑膠工業,上市,1234,96447
6,2317,鴻海,其他電子業,上市,-34439,95647
7,2884,玉山金,金融保險業,上市,24576,83027
8,2834,臺企銀,金融保險業,上市,24129,82399
9,2880,華南金,金融保險業,上市,24354,72395
10,2892,第一金,金融保險業,上市,36188,72060
11,1326,台化,塑膠工業,上市,-3962,71066
12,1605,華新,電器電纜,上市,3136,63682
13,2886,兆豐金,金融保險業,上市,14561,62999
14,2618,長榮航,航運業,上市,14626,59700
15,2890,永豐金,金融保險業,上市,13956,59524
16,2409,友達,光電業,上市,-66653,51272
17,2610,華航,航運業,上市,5318,44965
18,2603,長榮,航運業,上市,5192,42062
19,2801,彰銀,金融保險業,上市,22903,41594
20,3706,神達,電腦及週邊設備業,上市,-10395,39433
21,1301,台塑,塑膠工業,上市,12605,38937
22,2382,廣達,電腦及週邊設備業,上市,-5559,36963
23,2867,三商壽,金融保險業,上市,9760,35924
24,5880,合庫金,金融保險業,上市,17126,35743
25,6282,康舒,電子零組件業,上市,31300,34652
26,2891,中信金,金融保險業,上市,-6322,28754
27,1718,中纖,化學工業,上市,18302,28344
28,1101,台泥,水泥工業,上市,-8383,28303
29,6505,台塑化,油電燃氣業,上市,8365,26704
30,2882,國泰金,金融保險業,上市,8317,23454
31,1714,和桐,化學工業,上市,9790,20850
32,1314,中石化,塑膠工業,上市,17403,20540
33,2408,南亞科,半導體業,上市,-13122,19514
34,5876,上海商銀,金融保險業,上市,2877,17609
35,1514,亞力,電機機械,上市,11517,17237
36,8112,至上,電子通路業,上市,4758,17113
37,2337,旺宏,半導體業,上市,-9105,16768
38,2412,中華電,通信網路業,上市,2735,16671
39,2845,遠東銀,金融保險業,上市,7539,16099
40,2912,統一超,貿易百貨業,上市,5286,15754
41,2027,大成鋼,鋼鐵工業,上市,2453,14844
42,5871,中租-KY,其他業,上市,4803,14575
43,2349,錸德,光電業,上市,-8351,14279
44,2323,中環,光電業,上市,-7804,14162
45,2354,鴻準,其他電子業,上市,-3472,13517
46,2406,國碩,光電業,上市,-3323,13121
47,1402,遠東新,紡織纖維,上市,9483,12623
48,4938,和碩,電腦及週邊設備業,上市,2141,12010
49,2357,華碩,電腦及週邊設備業,上市,47,11668
50,3049,精金,光電業,上市,-3881,11115
