公司名稱,股票代碼,最新收盤價,標的債券,債券代號,轉換價格,差異百分比,股票成交量,股票5MA,可轉債成交量,可轉債5MA
威健,3033,34.65,威健七,30337,34.44,-0.61,26431744,11886379.0,1050,428.0
威力德生醫,7713,72.2,威力德生醫一,77131,73.9,2.35,38627,19299.0,6,2.0
