排名,股票代碼,公司產業,公司名稱,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,6706,光電業,惠特,8.3,33.3,124.0,139.5,113.5,126.5,2.0
2,8027,電機機械,鈦昇,8.0,21.2,107.0,135.0,102.0,131.0,22.4
3,3060,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),銘異,3.2,20.4,33.65,36.35,30.25,30.75,-8.6
4,3455,光電業類,由田,4.1,16.1,127.5,134.5,122.0,130.5,2.4
5,3450,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),聯鈞,4.7,14.7,288.0,304.0,257.0,271.5,-5.7
6,4971,半導體類,IET-KY,4.9,14.5,484.5,578.0,430.0,578.0,19.3
7,2485,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),兆赫,3.0,13.5,80.1,83.2,69.0,80.4,0.4
8,6231,資訊服務類,系微,4.1,12.4,252.5,292.5,249.5,274.0,8.5
9,3211,電腦及週邊類,順達,6.7,11.8,306.0,382.0,300.0,365.0,19.3
10,8064,光電業類,東捷,5.1,10.2,67.4,77.6,62.6,70.6,4.7
11,1582,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),信錦,3.3,9.9,93.6,102.0,81.7,102.0,9.0
12,2355,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),敬鵬,4.0,9.4,47.5,51.5,41.35,50.5,6.3
13,4807,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),日成-KY,6.5,9.3,16.15,16.6,15.0,15.0,-7.1
14,1569,電腦及週邊類,濱川,4.4,9.3,52.9,52.9,49.05,49.95,-5.6
15,4979,通信網路類,華星光,3.5,8.8,408.0,448.0,377.0,396.5,-2.8
16,4760,其他電子類,勤凱,3.9,8.8,191.0,206.0,177.5,206.0,7.9
17,6588,通信網路類,東典光電,3.0,8.5,109.5,119.5,96.3,118.0,7.8
18,3490,光電業類,單井,1.5,8.3,26.3,28.15,24.65,26.4,0.4
19,4906,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),正文,2.6,7.6,33.45,38.45,30.0,37.1,10.9
20,6530,通信網路類,創威,1.5,7.4,84.8,103.5,84.6,94.0,10.8
21,6104,半導體類,創惟,1.0,6.4,95.5,97.4,91.0,93.6,-2.0
22,4714,化學工業,永捷,1.4,6.2,15.25,15.35,14.05,14.25,-6.6
23,2461,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),光群雷,2.6,6.0,16.5,17.7,16.1,17.5,6.1
24,2455,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),全新,3.1,5.9,238.5,293.0,216.5,270.5,13.4
25,6568,半導體類,宏觀,2.6,5.9,205.0,233.5,202.0,216.5,5.6
26,2313,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),華通,4.0,5.9,230.0,270.0,205.0,270.0,17.4
27,3583,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),辛耘,3.1,5.6,421.0,532.0,414.0,497.5,18.2
28,8088,半導體類,品安,1.1,5.4,62.4,62.8,48.35,50.6,-18.9
29,5439,電子零組件類,高技,2.4,5.3,297.0,311.5,270.0,304.0,2.4
30,4903,通信網路類,聯光通,2.4,5.3,43.3,54.5,43.25,48.0,10.9
31,6147,半導體類,頎邦,3.4,5.2,72.3,78.7,60.3,76.8,6.2
32,2399,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),映泰,1.6,5.1,37.2,37.2,28.85,31.0,-16.7
33,6207,電子零組件類,雷科,0.9,5.1,50.8,60.0,48.6,51.9,2.2
34,4577,其他電子類,達航科技,3.6,5.0,88.7,114.5,84.9,114.5,29.1
35,2727,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),王品,1.7,5.0,223.0,237.0,222.0,229.0,2.7
36,8147,電子零組件類,正淩,2.2,4.9,147.5,149.5,136.0,144.0,-2.4
37,3207,電子零組件類,耀勝,1.9,4.9,68.1,71.2,66.3,67.1,-1.5
38,8091,半導體類,翔名,2.5,4.8,138.0,158.0,133.0,151.5,9.8
39,3356,光電業,奇偶,1.3,4.7,51.2,51.8,48.9,49.7,-2.9
40,5536,其他電子類,聖暉*,2.2,4.5,687.0,819.0,687.0,752.0,9.5
41,8028,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),昇陽半導體,1.9,4.2,192.5,204.5,174.0,191.0,-0.8
42,6257,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),矽格,2.3,4.2,137.0,150.5,125.0,146.0,6.6
43,3026,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),禾伸堂,1.7,4.1,123.5,157.5,113.5,151.0,22.3
44,4909,通信網路類,新復興,1.1,4.1,60.5,61.5,53.6,56.7,-6.3
45,3162,電機機械,精確,2.2,3.9,56.3,57.1,52.8,56.3,0.0
46,6291,半導體類,沛亨,2.5,3.6,377.5,387.5,323.0,348.5,-7.7
47,2230,電機機械,泰茂,1.6,3.6,35.0,35.0,30.8,31.35,-10.4
48,4973,半導體類,廣穎,1.4,3.5,98.2,98.2,57.7,61.2,-37.7
49,6217,電子零組件類,中探針,1.6,3.5,185.0,201.5,154.0,184.0,-0.5
50,6451,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),訊芯-KY,2.6,3.5,280.0,365.0,261.5,365.0,30.4
