股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1402,遠東新,27.55,5,16266528,3253,28.75,25.75,11.65%
2382,廣達,381.0,5,10519499,2103,385.0,367.0,4.90%
2542,興富發,43.45,5,2826000,565,44.35,42.6,4.11%
2633,台灣高鐵,25.95,5,3867000,773,26.85,25.2,6.55%
2880,華南金,38.85,4,5306756,1061,39.9,38.35,4.04%
2884,玉山金,34.45,4,2786318,557,35.35,33.95,4.12%
2886,兆豐金,46.0,4,14263352,2852,47.3,45.8,3.28%
2887,台新金,36.15,5,52964728,10592,37.75,34.4,9.74%
2891,中信金,63.5,4,13866825,2773,71.7,62.9,13.99%
5876,上海商銀,44.6,4,4875000,975,45.15,42.1,7.24%
