排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,記憶體模組,2.2,100.0,7/7,24.92,-14.73,-0.22,-1.52
2,TPU_伺服器主板與印刷電路板,3.22,100.0,5/5,19.15,33.56,5.03,-82.46
3,記憶體封裝與測試,1.06,100.0,4/4,7.16,3.11,0.07,-0.57
4,記憶體製造,4.14,100.0,4/4,247.78,11.44,4.78,-27.75
5,玻璃,1.76,80.0,12/15,43.58,90.78,-14.25,-91.58
6,銀,3.4,75.0,3/4,64.51,166.59,-0.66,-3.69
7,被動元件,2.4,68.42,13/19,66.3,269.73,-2.52,2.34
8,PCB,2.17,66.67,10/15,30.62,-55.47,-13.38,-171.3
9,軍工_航太製造與維修,1.21,66.67,4/6,-0.33,-1.92,-0.01,-0.05
10,記憶體控制IC,-0.32,60.0,3/5,27.77,8.53,0.02,0.45
11,無塵室與機電工程,-0.44,60.0,3/5,-7.59,2.33,0.41,-0.51
12,半導體設備,1.44,57.14,4/7,2.76,-2.88,1.96,6.81
13,工業自動化與機器人,0.95,57.14,4/7,5.18,3.76,0.02,0.19
14,IC設計,0.78,53.85,7/13,117.23,182.82,46.58,90.66
15,軟體設計,-0.02,53.33,8/15,0.27,-0.76,0.02,0.47
16,銅,0.29,50.0,5/10,0.28,-10.39,-9.59,-42.59
17,塑膠,0.06,44.44,8/18,5.77,-24.04,12.73,12.96
18,廠務系統與水處理,-13.65,42.86,3/7,0.93,-0.6,0.0,-0.5
19,金融,0.04,42.11,8/19,5.77,-24.03,12.73,12.96
20,化學,-0.31,40.0,8/20,-3.69,-36.57,11.89,12.57
21,航運,-0.15,40.0,6/15,-1.43,2.21,2.56,11.97
22,電器電纜,-0.17,30.0,3/10,3.92,4.91,0.78,0.74
23,電池或電源,-1.13,30.0,6/20,-28.26,30.32,1.18,6.01
24,紡織,-0.5,30.0,6/20,-2.97,-2.43,-0.51,0.49
25,機器人,-0.31,28.57,4/14,-0.06,60.21,0.02,7.42
26,網通設備組件,-0.5,25.0,5/20,111.03,215.33,46.32,88.33
27,軍工_無人機相關,0.25,25.0,2/8,134.31,200.98,43.81,78.7
28,TPU_散熱,-2.6,25.0,1/4,-24.94,10.98,6.56,17.01
29,TPU_光通訊與連接器,-0.83,25.0,1/4,-6.97,24.12,-1.29,-30.66
30,BBU_電源供應器與整合,-1.21,20.0,1/5,-25.56,30.1,0.14,10.06
31,CPO_先進封裝測試,-0.52,20.0,1/5,-4.82,-68.66,1.68,31.57
32,低軌衛星,-1.32,14.29,1/7,-46.72,-45.34,-7.94,-9.34
33,鋼鐵,-0.15,13.33,2/15,16.1,27.31,7.68,8.46
34,光學元件或組裝,-3.94,6.67,1/15,-48.37,-41.94,-36.76,-59.17
35,造紙,-1.1,0.0,0/7,-0.59,-0.85,-0.0,-0.06
36,CPO_光通訊,-3.95,0.0,0/6,-28.34,40.39,-6.17,-14.2
37,BBU_電池模組,-1.8,0.0,0/7,-5.36,-5.27,0.24,-4.56
