股票代碼,公司名稱,符合策略數,符合策略
3374,精材,3,"外資買超, 大戶持有, 隔日衝"
3714,富采,3,"外資買超, 強勢股, 盤整突破"
2889,國票金,3,"外資買超, 強勢股, 盤整突破"
3094,聯傑,3,"大戶持有, 強勢股, 盤整突破"
3141,晶宏,3,"大戶持有, 強勢股, 盤整突破"
8431,匯鑽科,3,"大戶持有, 強勢股, 盤整突破"
6182,合晶,2,"外資買超, 隔日衝"
2436,偉詮電,2,"大戶持有, 隔日衝"
2353,宏碁,2,"外資買超, 投信連續"
2382,廣達,2,"外資買超, 投信連續"
4938,和碩,2,"外資買超, 投信連續"
2884,玉山金,2,"外資買超, 投信連續"
2891,中信金,2,"外資買超, 投信連續"
2388,威盛,2,"外資買超, 盤整突破"
6271,同欣電,2,"外資買超, 盤整突破"
2313,華通,2,"外資買超, 投信連續"
3045,台灣大,2,"外資買超, 投信連續"
2882,國泰金,2,"外資買超, 投信連續"
6538,倉和,2,"外資買超, 盤整突破"
2455,全新,2,"外資買超, 大戶持有"
3661,世芯-KY,2,"外資買超, 大戶持有"
3324,雙鴻,2,"外資買超, 大戶持有"
2481,強茂,2,"大戶持有, 投信連續"
3019,亞光,2,"大戶持有, 盤整突破"
4908,前鼎,2,"大戶持有, 盤整突破"
