股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
2385,群光,120.0,4,2569142,513,126.5,118.5,6.75%
2603,長榮,203.0,4,3797635,759,222.0,202.0,9.90%
2618,長榮航,35.3,4,12303818,2460,36.1,33.8,6.80%
2881,富邦金,87.1,4,28695264,5739,90.9,85.3,6.57%
2882,國泰金,70.8,4,24583905,4916,74.3,69.6,6.75%
2883,凱基金,19.8,4,5601032,1120,20.8,19.4,7.22%
2887,台新金,24.15,5,97137425,19427,25.1,23.45,7.04%
2891,中信金,52.0,5,39045088,7809,53.9,50.4,6.94%
3005,神基,127.0,4,3283956,656,139.5,124.5,12.05%
3036,文曄,232.0,4,4965965,993,257.0,230.5,11.50%
