排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,BBU_電池模組,3.78,100.0,7/7,7.73,4.11,0.4,0.58
2,CPO_先進封裝測試,1.66,80.0,4/5,2.29,4.22,-0.17,1.85
3,造紙,0.44,71.43,5/7,0.3,0.54,0.0,0.0
4,航運,0.44,66.67,10/15,0.27,14.05,1.23,-15.73
5,CPO_光通訊,1.8,66.67,4/6,6.72,9.81,12.23,22.16
6,鋼鐵,0.29,66.67,10/15,-7.42,-23.22,0.02,-1.57
7,電池或電源,0.72,65.0,13/20,39.68,28.44,2.57,-0.28
8,電器電纜,-0.02,60.0,6/10,0.14,-8.03,0.03,-0.95
9,無塵室與機電工程,1.78,60.0,3/5,20.22,25.41,0.68,4.43
10,BBU_電源供應器與整合,0.42,60.0,3/5,31.78,27.14,2.04,-1.32
11,紡織,-0.14,50.0,10/20,-2.62,-12.89,-0.02,1.65
12,半導體設備,0.16,42.86,3/7,-12.51,-13.17,12.51,31.48
13,廠務系統與水處理,1.29,42.86,3/7,-0.55,-3.91,0.0,0.0
14,記憶體控制IC,-1.6,40.0,2/5,-0.32,-2.72,-0.03,-0.04
15,光學元件或組裝,0.11,40.0,6/15,-1.05,3.98,11.27,19.31
16,化學,-1.3,35.0,7/20,4.49,-54.49,1.96,-10.5
17,軟體設計,-0.65,33.33,5/15,1.13,-0.21,0.0,0.0
18,銅,-0.52,30.0,3/10,2.97,-57.79,0.47,-19.13
19,玻璃,-2.29,26.67,4/15,2.6,-45.76,-7.68,-18.89
20,金融,-1.19,26.32,5/19,10.76,-41.11,-0.22,-8.61
21,被動元件,-1.03,26.32,5/19,22.85,-15.01,1.7,-1.87
22,TPU_散熱,-0.58,25.0,1/4,-13.38,-28.02,1.0,11.87
23,網通設備組件,-1.22,25.0,5/20,-5.23,9.66,14.34,-18.6
24,銀,-0.79,25.0,1/4,-7.05,-40.61,-1.95,-3.96
25,TPU_光通訊與連接器,-1.09,25.0,1/4,-5.53,-21.18,14.35,21.91
26,塑膠,-1.4,22.22,4/18,10.76,-41.11,-0.22,-8.61
27,機器人,-0.3,21.43,3/14,31.99,30.0,3.62,1.31
28,軍工_航太製造與維修,-0.34,16.67,1/6,-0.13,-1.51,0.0,0.03
29,工業自動化與機器人,-0.7,14.29,1/7,0.89,-0.46,0.0,-0.4
30,PCB,-3.72,6.67,1/15,-53.64,-204.25,-6.34,69.48
31,TPU_伺服器主板與印刷電路板,-4.43,0.0,0/5,-37.2,-164.19,-6.03,85.86
32,記憶體封裝與測試,-3.79,0.0,0/4,-1.29,-3.78,0.08,2.53
33,記憶體模組,-7.25,0.0,0/7,19.22,20.29,-15.11,-17.22
34,記憶體製造,-6.92,0.0,0/4,-23.0,-267.84,-39.3,6.54
35,軍工_無人機相關,-1.3,0.0,0/9,3.52,-2.99,-2.09,-5.64
36,IC設計,-2.86,0.0,0/13,-0.08,16.54,0.27,12.25
37,低軌衛星,-2.99,0.0,0/7,-4.52,-12.13,4.13,6.69
