股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1312,國喬,14.45,9.06%,53309,1.57
1313,聯成,13.0,16.07%,17611,1.99
1314,中石化,8.99,17.98%,121860,2.02
1444,力麗,10.0,41.44%,27616,5.56
1447,力鵬,9.09,49.02%,38683,3.97
1708,東鹼,57.0,24.59%,18115,1.54
1710,東聯,18.4,34.8%,53264,3.2
1718,中纖,13.6,38.92%,63746,5.49
2302,麗正,55.4,23.11%,18216,1.59
2484,希華,87.7,26.19%,70000,1.8
3015,全漢,67.5,11.2%,10621,1.87
4707,磐亞,30.9,36.73%,10853,3.07
4763,材料-KY,49.5,11.11%,18088,1.99
5328,華容,81.9,59.34%,86167,2.1
5392,能率,48.5,8.14%,16766,2.1
5483,中美晶,201.0,10.14%,85458,1.72
6156,松上,32.0,37.04%,26323,4.96
6182,合晶,148.5,30.26%,80138,1.56
6191,精成科,110.0,10.0%,32534,2.63
6719,力智,300.0,26.58%,17525,2.67
8071,能率網通,33.8,11.92%,10289,2.54
8182,加高,55.3,7.59%,24372,2.6
8261,富鼎,327.0,67.26%,29470,1.81
