排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,造紙,2.15,42.86,3/7,-0.04,-2.49,0.0,0.0
2,TPU_散熱,-4.34,25.0,1/4,-12.87,-54.52,7.46,13.54
3,CPO_先進封裝測試,-5.21,20.0,1/5,11.96,17.38,-6.48,-10.29
4,BBU_電源供應器與整合,-3.25,20.0,1/5,-78.78,-126.29,3.7,9.35
5,塑膠,-3.09,16.67,3/18,-39.34,-6.17,0.37,-0.84
6,金融,-3.43,15.79,3/19,-39.35,-6.18,0.37,-0.84
7,低軌衛星,-4.23,14.29,1/7,-14.83,-27.41,11.38,35.33
8,工業自動化與機器人,-3.0,14.29,1/7,-4.62,-0.06,-0.68,-0.67
9,廠務系統與水處理,-2.54,14.29,1/7,1.1,-1.05,0.0,0.0
10,鋼鐵,-1.76,13.33,2/15,-6.72,-24.01,-2.57,-2.82
11,銅,-3.03,10.0,1/10,-20.79,-32.57,1.45,-11.68
12,化學,-3.33,10.0,2/20,-40.33,-15.08,-0.02,-2.79
13,IC設計,-4.99,7.69,1/13,38.22,-16.62,-16.23,-40.43
14,機器人,-3.63,7.14,1/14,-81.91,-125.43,2.83,8.44
15,PCB,-5.66,6.67,1/15,-36.83,-97.49,5.58,6.04
16,軟體設計,-2.11,6.67,1/15,0.5,0.46,0.0,-0.0
17,航運,-1.57,6.67,1/15,-14.47,-20.92,2.27,3.78
18,紡織,-1.25,5.0,1/20,1.02,8.29,-0.09,-0.31
19,軍工_無人機相關,-3.45,0.0,0/9,3.05,-7.68,-12.39,-23.0
20,軍工_航太製造與維修,-4.07,0.0,0/6,-1.12,-2.09,0.0,0.06
21,BBU_電池模組,-3.24,0.0,0/7,5.54,-12.35,3.73,8.3
22,記憶體模組,-8.73,0.0,0/7,7.33,39.32,0.07,-41.24
23,銀,-4.04,0.0,0/4,-12.71,-26.53,0.14,1.63
24,電器電纜,-3.01,0.0,0/10,6.64,-2.57,-5.18,-12.49
25,記憶體製造,-7.84,0.0,0/4,22.41,35.29,-1.31,-26.93
26,玻璃,-4.58,0.0,0/15,-16.47,-48.92,-4.84,-5.25
27,記憶體控制IC,-4.52,0.0,0/5,0.15,0.38,-0.0,-0.01
28,記憶體封裝與測試,-4.28,0.0,0/4,-4.33,-6.61,3.09,5.36
29,被動元件,-4.25,0.0,0/19,-94.12,-142.93,3.87,10.94
30,網通設備組件,-5.82,0.0,0/20,-37.04,-109.11,0.12,7.75
31,無塵室與機電工程,-5.19,0.0,0/5,-5.3,-23.66,2.0,-6.8
32,半導體設備,-4.75,0.0,0/7,4.53,13.97,0.69,3.44
33,光學元件或組裝,-4.87,0.0,0/15,-13.26,-42.09,5.9,2.31
34,TPU_光通訊與連接器,-7.46,0.0,0/4,-26.39,-49.77,14.49,32.43
35,TPU_伺服器主板與印刷電路板,-5.87,0.0,0/5,-10.88,-67.97,4.17,2.8
36,CPO_光通訊,-9.06,0.0,0/6,-28.04,-50.23,5.96,7.0
37,電池或電源,-3.59,0.0,0/20,-68.54,-144.16,2.92,5.81
