股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
1718,中纖,2026-06-04,9.68,9.68,0.0%,33368,9352,3.57
5381,合正,2026-06-04,29.25,30.25,3.42%,12055,2147,5.62
1708,東鹼,2026-06-04,45.8,47.65,4.04%,33865,5541,6.11
1710,東聯,2026-06-04,15.9,15.4,-3.14%,30914,8620,3.59
1714,和桐,2026-06-04,11.9,12.1,1.68%,39115,9191,4.26
2883,凱基金,2026-06-04,26.9,27.4,1.86%,526935,100374,5.25
1809,中釉,2026-06-04,56.5,58.5,3.54%,36365,12118,3.0
1904,正隆,2026-06-04,20.8,22.3,7.21%,27597,4342,6.35
1905,華紙,2026-06-04,13.0,14.0,7.69%,41543,5844,7.11
1907,永豐餘,2026-06-04,25.1,26.4,5.18%,7894,1879,4.2
1909,榮成,2026-06-04,9.54,9.93,4.09%,22523,4108,5.48
2009,第一銅,2026-06-04,45.2,44.5,-1.55%,23378,4489,5.21
6126,信音,2026-06-04,42.2,43.0,1.9%,18946,3810,4.97
2108,南帝,2026-06-04,28.95,30.9,6.74%,7382,2155,3.42
2323,中環,2026-06-04,12.65,12.15,-3.95%,51361,15473,3.32
6015,宏遠證,2026-06-04,22.85,22.5,-1.53%,23929,7607,3.15
4707,磐亞,2026-06-04,19.7,21.1,7.11%,14655,4152,3.53
1618,合機,2026-06-04,45.2,44.25,-2.1%,5536,1665,3.32
4534,慶騰,2026-06-04,29.0,31.65,9.14%,5303,1595,3.32
2352,佳世達,2026-06-04,35.5,34.25,-3.52%,63832,14562,4.38
3630,新鉅科,2026-06-04,27.35,29.15,6.58%,5203,1228,4.24
3550,聯穎,2026-06-04,21.55,23.95,11.14%,10932,3114,3.51
3511,矽瑪,2026-06-04,27.95,27.0,-3.4%,6682,738,9.05
2371,大同,2026-06-04,31.7,32.05,1.1%,82194,25209,3.26
3483,力致,2026-06-04,113.0,107.0,-5.31%,7972,1734,4.6
2390,云辰,2026-06-04,13.4,13.1,-2.24%,6521,1812,3.6
3093,港建*,2026-06-04,56.1,61.7,9.98%,6183,1966,3.14
2406,國碩,2026-06-04,39.8,38.5,-3.27%,90088,17867,5.04
3049,精金,2026-06-04,16.15,17.3,7.12%,71328,14596,4.89
3027,盛達,2026-06-04,23.25,24.25,4.3%,7149,953,7.5
3015,全漢,2026-06-04,57.1,62.7,9.81%,11744,1453,8.08
2913,農林,2026-06-04,11.55,11.5,-0.43%,7987,2416,3.31
6890,來億-KY,2026-06-04,208.5,231.5,11.03%,5824,1118,5.21
2855,統一證,2026-06-04,55.1,55.5,0.73%,48881,12913,3.79
1616,億泰,2026-06-04,24.35,24.95,2.46%,7003,1138,6.15
1513,中興電,2026-06-04,190.0,187.0,-1.58%,79393,16717,4.75
1227,佳格,2026-06-04,28.5,28.45,-0.18%,5792,1817,3.19
9941,裕融,2026-06-04,82.2,82.0,-0.24%,8784,2798,3.14
9934,成霖,2026-06-04,10.35,11.25,8.7%,10289,1357,7.58
1310,台苯,2026-06-04,9.56,9.18,-3.97%,16138,4748,3.4
1312,國喬,2026-06-04,14.9,14.2,-4.7%,126456,15033,8.41
1314,中石化,2026-06-04,8.11,8.25,1.73%,120986,35448,3.41
8936,國統,2026-06-04,55.5,60.1,8.29%,21554,3977,5.42
8473,山林水,2026-06-04,52.2,54.6,4.6%,13712,3508,3.91
1440,南紡,2026-06-04,15.8,14.65,-7.28%,21689,5489,3.95
8064,東捷,2026-06-04,171.5,169.0,-1.46%,42646,12380,3.44
8277,商丞,2026-06-04,12.5,12.0,-4.0%,6250,707,8.83
1444,力麗,2026-06-04,7.83,7.16,-8.56%,11261,2686,4.19
8104,錸寶,2026-06-04,46.1,42.75,-7.27%,17657,3808,4.64
1504,東元,2026-06-04,83.5,87.0,4.19%,176599,40163,4.4
