股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1504,東元,87.0,22.36%,176599,5.25
1513,中興電,187.0,21.04%,79393,3.65
1514,亞力,149.5,26.69%,18956,2.36
1609,大亞,43.0,22.68%,68799,4.89
1612,宏泰,40.65,11.07%,14143,4.53
1714,和桐,12.1,23.47%,39115,3.09
1809,中釉,58.5,49.23%,36365,2.51
1904,正隆,22.3,18.3%,27597,2.47
2406,國碩,38.5,24.6%,90088,1.83
2409,友達,29.25,44.8%,878685,2.0
2493,揚博,177.5,31.0%,11657,1.69
2855,統一證,55.5,38.06%,48881,2.46
2881,富邦金,114.0,18.63%,55345,2.61
2882,國泰金,94.4,19.95%,54014,1.8
2883,凱基金,27.4,28.04%,526935,3.32
2885,元大金,63.9,16.82%,33224,1.65
3015,全漢,62.7,22.94%,11744,6.45
3149,正達,91.0,60.78%,42746,2.31
3312,弘憶股,73.2,56.24%,12490,1.79
3615,安可,57.9,33.87%,27244,2.14
4707,磐亞,21.1,42.57%,14655,2.25
5285,界霖,99.3,21.1%,10689,3.33
5309,系統電,81.8,21.19%,35904,2.87
5381,合正,30.25,19.57%,12055,2.57
5864,致和證,50.6,56.66%,12648,2.36
6126,信音,43.0,20.45%,18946,4.44
6207,雷科,153.0,72.49%,20703,1.9
6265,方土昶,63.9,46.06%,23537,1.58
6282,康舒,70.8,32.09%,123061,2.32
6548,長科*,98.1,90.86%,12992,2.19
8070,長華*,65.3,47.9%,55584,4.67
8076,伍豐,28.6,18.92%,14802,3.32
8088,品安,67.6,24.95%,14320,1.87
8112,至上,95.6,11.81%,61466,1.94
8926,台汽電,72.4,18.69%,17435,2.15
9934,成霖,11.25,14.56%,10289,4.04
