股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1216,統一,73.6,5,31207110,6241,74.5,70.8,5.23%
2105,正新,34.55,4,47065762,9413,35.3,31.95,10.49%
2347,聯強,89.9,4,26934857,5386,94.0,84.4,11.37%
2412,中華電,141.5,5,24269566,4853,143.0,136.5,4.76%
2618,長榮航,37.9,5,176433450,35286,38.45,35.65,7.85%
2801,彰銀,21.4,4,17274091,3454,21.6,20.05,7.73%
2886,兆豐金,42.1,5,64563919,12912,42.7,40.0,6.75%
2890,永豐金,33.15,5,3375226,675,33.3,29.55,12.69%
2892,第一金,29.55,5,23681954,4736,29.65,27.2,9.01%
3034,聯詠,489.0,4,5095518,1019,512.0,475.0,7.79%
3045,台灣大,116.0,4,16502206,3300,117.0,111.5,4.93%
3293,鈊象,800.0,5,6078133,1215,809.0,752.0,7.58%
4904,遠傳,102.0,5,17074164,3414,103.0,93.5,10.16%
5871,中租-KY,119.0,5,34244623,6848,120.5,107.0,12.62%
5876,上海商銀,40.75,5,19848176,3969,41.65,38.8,7.35%
