排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,記憶體封裝與測試,5.64,75.0,3/4,16.97,39.59,-13.31,-37.68
2,記憶體製造,2.71,75.0,3/4,11.27,-137.54,3.47,13.13
3,銀,3.49,75.0,3/4,-115.32,-263.95,53.32,142.34
4,廠務系統與水處理,1.21,71.43,5/7,2.18,4.21,0.0,-0.01
5,IC設計,0.51,61.54,8/13,-54.64,-210.44,13.22,69.1
6,被動元件,2.44,60.0,12/20,-154.7,-425.82,63.82,169.57
7,記憶體控制IC,0.15,60.0,3/5,0.31,-3.29,0.04,0.08
8,低軌衛星,1.13,57.14,4/7,11.32,47.92,1.43,-7.41
9,鋼鐵,-0.02,53.33,8/15,2.91,11.42,-3.79,-11.01
10,塑膠,0.19,50.0,9/18,-9.59,-41.04,2.25,3.09
11,金融,0.01,47.37,9/19,-9.59,-41.04,2.25,3.09
12,航運,0.16,46.67,7/15,11.35,21.92,-15.1,-67.96
13,紡織,-0.38,45.0,9/20,-6.81,-17.12,6.04,19.41
14,網通設備組件,-0.89,45.0,9/20,-32.92,-311.79,20.28,97.64
15,記憶體模組,-0.28,42.86,3/7,3.27,8.92,-8.9,-26.14
16,銅,-0.5,40.0,4/10,17.25,6.21,-6.55,39.06
17,TPU_伺服器主板與印刷電路板,-0.68,40.0,2/5,18.24,-13.24,-8.39,53.84
18,CPO_先進封裝測試,-1.08,40.0,2/5,10.02,-22.76,5.18,6.6
19,無塵室與機電工程,1.59,40.0,2/5,5.79,6.59,-13.87,-13.59
20,化學,-0.53,40.0,8/20,-17.13,-67.45,7.78,22.7
21,軟體設計,-0.45,33.33,5/15,0.08,1.04,0.05,0.03
22,PCB,-0.74,33.33,5/15,54.19,102.19,-17.32,66.75
23,BBU_電池模組,-0.6,28.57,2/7,5.45,13.09,-4.76,-9.04
24,半導體設備,-1.13,28.57,2/7,2.3,-9.77,0.98,10.73
25,玻璃,-1.18,26.67,4/15,37.9,-14.32,-18.27,4.22
26,光學元件或組裝,-2.43,26.67,4/15,28.67,25.12,-7.05,6.25
27,電池或電源,-0.54,25.0,5/20,-3.96,-161.97,-4.87,4.37
28,軍工_無人機相關,-0.57,22.22,2/9,-63.88,-206.31,8.86,63.28
29,BBU_電源供應器與整合,-0.64,20.0,1/5,-8.93,-162.18,1.85,16.47
30,軍工_航太製造與維修,-1.01,16.67,1/6,-0.26,1.86,0.01,-0.0
31,工業自動化與機器人,-0.96,14.29,1/7,6.92,5.27,-0.0,0.33
32,造紙,-2.48,12.5,1/8,-0.33,0.6,0.0,-0.0
33,電器電纜,-1.3,10.0,1/10,-5.1,-19.63,0.05,2.52
34,機器人,-1.46,7.14,1/14,-2.15,-153.33,1.76,16.98
35,TPU_散熱,-1.04,0.0,0/4,-9.17,-75.76,9.21,3.46
36,TPU_光通訊與連接器,-2.84,0.0,0/4,43.57,-0.36,-9.96,-12.24
37,CPO_光通訊,-4.91,0.0,0/6,70.46,35.68,-24.19,-35.83
