股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
2027,大成鋼,36.55,5,8124000,1624,37.4,35.75,4.62%
2324,仁寶,32.2,4,6793000,1358,32.85,29.7,10.61%
2385,群光,124.0,5,3556661,711,126.0,117.0,7.69%
2880,華南金,33.85,5,7255126,1451,35.8,32.55,9.98%
2881,富邦金,88.1,5,14567790,2913,90.1,83.5,7.90%
2882,國泰金,71.7,5,13679317,2735,73.1,67.3,8.62%
2887,台新金,24.75,4,84699653,16939,24.85,22.9,8.52%
2891,中信金,51.3,4,52324203,10464,52.0,49.4,5.26%
3702,大聯大,74.5,4,5109832,1021,74.5,67.4,10.53%
6005,群益證,27.8,5,5131432,1026,29.05,27.3,6.41%
