股票代碼,公司名稱,風險等級,累計注意股次數,連續天數,預測處置原因,最新收盤價,漲幅門檻,跌幅門檻
5521,工信,高,3,3,連續3日注意股（已達連續3日標準）,14.4,+6.0% (>16.22),-6.0% (<14.38)
3665,貿聯-KY,高,3,3,連續3日注意股（已達連續3日標準）,1635.0,+6.0% (>1754.30),-6.0% (<1555.70)
8033,雷虎,高,6,3,連續3日注意股（已達連續3日標準）,144.5,+6.0% (>152.11),-6.0% (<134.89)
7610,聯友金屬-創,高,6,4,連續4日注意股（已達連續3日標準）,332.0,+6.0% (>361.46),-6.0% (<320.54)
6715,嘉基,高,5,4,連續4日注意股（已達連續3日標準）,304.0,+6.0% (>298.92),-6.0% (<265.08)
6456,GIS-KY,高,3,3,連續3日注意股（已達連續3日標準）,64.3,+6.0% (>66.99),-6.0% (<59.41)
6443,元晶,高,7,4,連續4日注意股（已達連續3日標準）,51.0,+6.0% (>55.44),-6.0% (<49.16)
6442,光聖,高,7,1,近10日內6日注意股（已達6日標準）,1690.0,+6.0% (>1918.60),-6.0% (<1701.40)
6152,百一,高,3,3,連續3日注意股（已達連續3日標準）,19.75,+6.0% (>20.25),-6.0% (<17.95)
2367,燿華,高,7,4,連續4日注意股（已達連續3日標準）,73.0,+6.0% (>73.35),-6.0% (<65.05)
4960,誠美材,高,3,3,連續3日注意股（已達連續3日標準）,21.15,+6.0% (>20.41),-6.0% (<18.09)
911608,明輝-DR,高,5,3,連續3日注意股（已達連續3日標準）,3.0,+6.0% (>3.18),-6.0% (<2.82)
3576,聯合再生,高,5,3,連續3日注意股（已達連續3日標準）,23.6,+6.0% (>23.05),-6.0% (<20.45)
3092,鴻碩,高,5,4,連續4日注意股（已達連續3日標準）,31.85,+6.0% (>33.92),-6.0% (<30.08)
3054,立萬利,高,6,3,連續3日注意股（已達連續3日標準）,65.7,+6.0% (>63.39),-6.0% (<56.21)
2618,長榮航,高,3,3,連續3日注意股（已達連續3日標準）,33.7,+6.0% (>35.93),-6.0% (<31.87)
2489,瑞軒,高,7,4,連續4日注意股（已達連續3日標準）,37.6,+6.0% (>39.70),-6.0% (<35.20)
2485,兆赫,高,5,3,連續3日注意股（已達連續3日標準）,60.8,+6.0% (>58.62),-6.0% (<51.98)
2426,鼎元,高,4,4,連續4日注意股（已達連續3日標準）,30.9,+6.0% (>29.79),-6.0% (<26.41)
6141,柏承,極高,6,6,連續6日注意股（已達連續3日標準）,18.2,+6.0% (>19.19),-6.0% (<17.01)
6230,尼得科超眾,極高,5,5,連續5日注意股（已達連續3日標準）,168.0,+6.0% (>182.32),-6.0% (<161.68)
2616,山隆,極高,5,5,連續5日注意股（已達連續3日標準）,18.2,+6.0% (>20.56),-6.0% (<18.24)
6830,汎銓,極高,6,6,連續6日注意股（已達連續3日標準）,388.0,+6.0% (>416.58),-6.0% (<369.42)
6861,睿生光電,極高,8,5,連續5日注意股（已達連續3日標準）,177.5,+6.0% (>173.31),-6.0% (<153.69)
2467,志聖,極高,5,5,連續5日注意股（已達連續3日標準）,365.0,+6.0% (>390.08),-6.0% (<345.92)
1589,永冠-KY,極高,8,8,連續8日注意股（已達連續3日標準）,7.26,+6.0% (>7.00),-6.0% (<6.20)
