股票代碼,公司名稱,族群,今日漲跌幅,近三交易日漲跌幅,今日成交量
4931,新盛力,BBU_電池模組,4.6,-5.86,2525
6121,新普,BBU_電池模組,4.35,1.61,368
6558,興能高,BBU_電池模組,2.36,-2.92,308
3211,順達,BBU_電池模組,2.17,-3.42,11029
3323,加百裕,BBU_電池模組,1.38,-5.03,557
6781,AES-KY,BBU_電池模組,1.32,-6.73,729
3625,西勝,BBU_電池模組,-1.47,-4.0,234
2308,台達電,BBU_電源供應器與整合,6.88,-2.32,12559
2301,光寶科,BBU_電源供應器與整合,4.98,-2.96,10190
5309,系統電,BBU_電源供應器與整合,2.48,-3.83,1865
3625,西勝,BBU_電源供應器與整合,-1.47,-4.0,234
3305,昇貿,BBU_電源供應器與整合,-1.87,-1.41,5825
3363,上詮,CPO_先進封裝測試,10.0,-5.76,544
6257,矽格,CPO_先進封裝測試,4.35,6.85,28003
6451,訊芯-KY,CPO_先進封裝測試,3.04,-16.44,2599
3265,台星科,CPO_先進封裝測試,2.81,1.38,3167
6515,穎崴,CPO_先進封裝測試,1.96,-7.9,245
4979,華星光,CPO_光通訊,9.96,-5.3,1291
3163,波若威,CPO_光通訊,9.9,1.41,2935
3081,聯亞,CPO_光通訊,9.84,0.58,2156
2455,全新,CPO_光通訊,6.9,-2.59,24882
6442,光聖,CPO_光通訊,6.84,-4.02,2569
4977,眾達-KY,CPO_光通訊,3.11,-8.75,4556
3661,世芯-KY,IC設計,9.86,-10.2,1709
3661,世芯-KY,IC設計,9.86,-10.2,1709
3443,創意,IC設計,8.78,-4.27,1949
3443,創意,IC設計,8.78,-4.27,1949
8054,安國,IC設計,4.19,-5.31,1988
6533,晶心科,IC設計,4.07,0.28,437
6531,愛普*,IC設計,4.07,-9.27,2947
3529,力旺,IC設計,3.61,-3.54,1134
3035,智原,IC設計,2.48,-3.99,1349
3035,智原,IC設計,2.48,-3.99,1349
6643,M31,IC設計,2.32,1.25,1542
2388,威盛,IC設計,0.57,-3.67,4444
2454,聯發科,IC設計,-1.68,-7.57,11745
2368,金像電,PCB,10.0,2.38,7499
2383,台光電,PCB,10.0,-1.72,3039
8046,南電,PCB,9.96,2.32,17700
3037,欣興,PCB,9.9,-3.27,8025
6213,聯茂,PCB,9.76,3.16,26771
6274,台燿,PCB,9.49,-0.48,13441
2313,華通,PCB,7.26,-1.48,103346
4958,臻鼎-KY,PCB,6.3,-4.57,26677
3189,景碩,PCB,6.07,-5.68,7162
1815,富喬,PCB,3.03,-7.32,29686
3715,定穎投控,PCB,2.86,-11.55,43560
8358,金居,PCB,2.75,2.53,19662
5469,瀚宇博,PCB,2.63,-2.39,1174
2316,楠梓電,PCB,2.26,-4.78,2764
2367,燿華,PCB,1.36,-4.73,105229
2368,金像電,TPU_伺服器主板與印刷電路板,10.0,2.38,7499
2383,台光電,TPU_伺服器主板與印刷電路板,10.0,-1.72,3039
3037,欣興,TPU_伺服器主板與印刷電路板,9.9,-3.27,8025
3715,定穎投控,TPU_伺服器主板與印刷電路板,2.86,-11.55,43560
5469,瀚宇博,TPU_伺服器主板與印刷電路板,2.63,-2.39,1174
6805,富世達,TPU_光通訊與連接器,10.0,1.05,1021
2345,智邦,TPU_光通訊與連接器,9.93,0.3,4304
3081,聯亞,TPU_光通訊與連接器,9.84,0.58,2156
6442,光聖,TPU_光通訊與連接器,6.84,-4.02,2569
6805,富世達,TPU_散熱,10.0,1.05,1021
3017,奇鋐,TPU_散熱,6.03,-3.87,4034
6831,未知,TPU_散熱,5.44,2.78,1720
3324,雙鴻,TPU_散熱,4.66,-7.35,3405
2345,智邦,低軌衛星,9.93,0.3,4304
2313,華通,低軌衛星,7.26,-1.48,103346
3491,昇達科,低軌衛星,4.91,-10.21,3288
2485,兆赫,低軌衛星,2.39,1.37,7988
6190,萬泰科,低軌衛星,2.03,0.55,22538
2367,燿華,低軌衛星,1.36,-4.73,105229
6443,元晶,低軌衛星,0.73,-8.56,29765
4979,華星光,光學元件或組裝,9.96,-5.3,1291
3081,聯亞,光學元件或組裝,9.84,0.58,2156
6442,光聖,光學元件或組裝,6.84,-4.02,2569
3504,揚明光,光學元件或組裝,5.36,-3.28,254
6668,中揚光,光學元件或組裝,4.24,0.29,187
3406,玉晶光,光學元件或組裝,3.2,1.92,525
3362,先進光,光學元件或組裝,3.14,-0.42,262
4977,眾達-KY,光學元件或組裝,3.11,-8.75,4556
6451,訊芯-KY,光學元件或組裝,3.04,-16.44,2599
6209,今國光,光學元件或組裝,2.65,-1.37,1284
3450,聯鈞,光學元件或組裝,2.27,-8.84,7947
2374,佳能,光學元件或組裝,1.8,-5.96,2024
3019,亞光,光學元件或組裝,1.65,-3.15,1191
3008,大立光,光學元件或組裝,1.62,-1.35,375
4976,佳凌,光學元件或組裝,1.09,-2.46,285
1303,南亞,化學,6.5,6.06,105710
1717,長興,化學,4.17,-2.76,6938
1773,勝一,化學,4.04,-0.7,317
4749,新應材,化學,3.76,-4.28,1093
1402,遠東新,化學,3.23,3.43,26787
4763,材料-KY,化學,2.02,-4.35,2403
1301,台塑,化學,1.63,-0.53,21906
1727,中華化,化學,1.55,-2.86,2377
1722,台肥,化學,1.32,0.44,2208
1440,南紡,化學,1.19,-1.54,1039
4770,上品,化學,1.15,-2.67,230
6505,台塑化,化學,1.09,-1.07,19943
1326,台化,化學,0.78,2.37,41315
4755,三福化,化學,0.71,-3.75,312
1409,新纖,化學,0.65,-2.51,3691
4720,德淵,化學,0.57,-4.07,1533
1710,東聯,化學,0.34,-2.68,13012
1723,中碳,化學,-1.48,7.43,3851
1725,元禎,化學,-1.82,-5.41,198
1304,台聚,化學,-5.48,6.48,59234
6187,萬潤,半導體設備,10.0,-7.95,1035
6640,均華,半導體設備,3.73,-2.11,1048
2460,建通,半導體設備,3.45,2.41,256
6196,帆宣,半導體設備,2.56,-4.44,816
3583,辛耘,半導體設備,2.54,-6.53,3093
3138,耀登,半導體設備,1.79,-7.59,2371
3680,家登,半導體設備,0.13,-8.05,1107
1303,南亞,塑膠,6.5,6.06,105710
1309,台達化,塑膠,2.39,6.55,54457
1325,恆大,塑膠,2.2,2.58,309
1301,台塑,塑膠,1.63,-0.53,21906
1314,中石化,塑膠,1.35,1.6,26817
6505,台塑化,塑膠,1.09,-1.07,19943
1326,台化,塑膠,0.78,2.37,41315
