公司名稱,股票代碼,最新收盤價,標的債券,債券代號,轉換價格,差異百分比,股票成交量,股票5MA,可轉債成交量,可轉債5MA
弘塑,3131,1780.0,弘塑一,31311,1736.5,-2.44,1835229,765839.0,390,104.0
毅嘉,2402,57.0,毅嘉三,24023,55.0,-3.51,18452872,6672190.0,76,30.0
佳必琪,6197,154.5,佳必琪三,61973,160.0,3.56,3179648,1387081.0,67,26.0
