排名,股票代碼,公司名稱,公司產業,上市櫃,今日主力買超(張),5日累積買超(張)
1,2002,中鋼,鋼鐵工業,上市,15462,58171
2,2884,玉山金,金融保險業,上市,4851,48176
3,1101,台泥,水泥工業,上市,14878,42321
4,5880,合庫金,金融保險業,上市,12761,41463
5,2834,臺企銀,金融保險業,上市,17716,37538
6,2892,第一金,金融保險業,上市,9322,36090
7,2883,凱基金,金融保險業,上市,5644,33753
8,2618,長榮航,航運業,上市,6872,31149
9,5876,上海商銀,金融保險業,上市,9393,29532
10,2867,三商壽,金融保險業,上市,111,25076
11,2886,兆豐金,金融保險業,上市,5785,25071
12,2880,華南金,金融保險業,上市,6167,24243
13,2027,大成鋼,鋼鐵工業,上市,1919,22674
14,2801,彰銀,金融保險業,上市,10188,22019
15,1402,遠東新,紡織纖維,上市,1532,20322
16,2845,遠東銀,金融保險業,上市,1280,16283
17,1718,中纖,化學工業,上市,7150,14661
18,2412,中華電,通信網路業,上市,6228,11032
19,5871,中租-KY,其他業,上市,635,10243
20,4904,遠傳,通信網路業,上市,1442,8721
21,9945,潤泰新,其他業,上市,848,8624
22,2646,星宇航空,航運業,上市,1579,6401
23,2915,潤泰全,貿易百貨業,上市,108,4520
24,4938,和碩,電腦及週邊設備業,上市,42,4141
25,2633,台灣高鐵,航運業,上市,505,3991
26,1907,永豐餘,造紙工業,上市,21,3242
27,2520,冠德,建材營造業,上市,293,3009
28,3413,京鼎,半導體業,上市,3,2958
29,2836,高雄銀,金融保險業,上市,955,2619
30,1210,大成,食品工業,上市,248,2401
31,6271,同欣電,半導體業,上市,140,2041
32,2903,遠百,貿易百貨業,上市,254,1924
33,3034,聯詠,半導體業,上市,529,1864
34,9941,裕融,其他業,上市,262,1826
35,2399,映泰,電腦及週邊設備業,上市,185,1714
36,3026,禾伸堂,電子零組件業,上市,198,1668
37,6414,樺漢,電腦及週邊設備業,上市,720,1642
38,4960,誠美材,光電業,上市,316,1630
39,2206,三陽工業,汽車工業,上市,583,1530
40,2031,新光鋼,鋼鐵工業,上市,301,1443
