排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,造紙,-0.75,28.57,2/7,0.59,0.58,0.0,0.01
2,廠務系統與水處理,-3.11,16.67,1/6,-3.22,-7.57,0.0,0.01
3,航運,-0.78,13.33,2/15,32.82,70.14,1.02,3.89
4,鋼鐵,-1.97,13.33,2/15,3.43,17.73,-0.79,-1.97
5,玻璃,-6.85,6.67,1/15,-22.4,-49.41,0.55,-1.46
6,軟體設計,-2.07,6.67,1/15,-0.08,1.98,0.0,0.0
7,光學元件或組裝,-5.55,6.67,1/15,-17.52,-138.05,21.03,82.22
8,金融,-3.84,5.26,1/19,3.4,1.25,0.28,-5.77
9,紡織,-1.48,5.0,1/20,2.35,8.86,0.17,2.22
10,銀,-7.4,0.0,0/4,-3.95,35.08,-13.34,-45.5
11,軍工_航太製造與維修,-3.67,0.0,0/6,-0.98,-0.7,0.0,0.06
12,網通設備組件,-6.32,0.0,0/20,-95.1,-256.28,17.7,59.12
13,軍工_無人機相關,-5.26,0.0,0/9,-68.77,-120.89,-9.48,-33.05
14,記憶體製造,-9.95,0.0,0/4,-73.75,-177.34,-9.87,-43.41
15,記憶體模組,-7.73,0.0,0/7,-11.73,-46.93,-0.72,-1.99
16,記憶體控制IC,-6.87,0.0,0/5,-6.88,-8.66,0.0,0.01
17,銅,-8.13,0.0,0/10,18.23,20.63,-7.81,-18.46
18,記憶體封裝與測試,-9.19,0.0,0/4,-1.85,-14.27,0.05,-2.78
19,被動元件,-9.13,0.0,0/19,-91.55,-54.72,-13.59,-67.76
20,電器電纜,-5.03,0.0,0/10,-8.1,-12.36,0.0,0.04
21,BBU_電池模組,-6.98,0.0,0/7,-0.91,-6.12,0.63,1.14
22,BBU_電源供應器與整合,-7.15,0.0,0/5,-112.43,-130.79,1.89,-14.15
23,無塵室與機電工程,-7.38,0.0,0/5,1.91,-35.37,-7.67,-6.15
24,機器人,-6.96,0.0,0/14,-96.66,-105.1,-6.81,-24.37
25,工業自動化與機器人,-6.19,0.0,0/7,1.73,3.55,-6.55,-6.57
26,塑膠,-4.1,0.0,0/18,3.4,1.26,0.28,-5.77
27,半導體設備,-7.22,0.0,0/7,2.83,3.46,-0.17,-0.82
28,化學,-4.65,0.0,0/20,3.54,5.81,0.44,-3.49
29,低軌衛星,-8.01,0.0,0/7,12.96,6.58,2.15,-8.48
30,TPU_散熱,-7.76,0.0,0/4,-9.91,-25.48,8.15,30.33
31,TPU_光通訊與連接器,-7.4,0.0,0/4,-5.9,-91.36,11.99,41.72
32,TPU_伺服器主板與印刷電路板,-8.38,0.0,0/5,-14.6,-44.8,-9.14,-14.36
33,PCB,-9.01,0.0,0/15,88.57,21.66,-38.31,-64.24
34,IC設計,-8.17,0.0,0/13,-70.27,-110.07,-7.5,-38.97
35,CPO_光通訊,-8.93,0.0,0/6,-15.88,-112.81,15.12,54.18
36,CPO_先進封裝測試,-8.79,0.0,0/5,-1.38,-8.01,0.5,-3.98
37,電池或電源,-6.13,0.0,0/20,-117.94,-144.66,2.56,-13.7
