股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
2105,正新,32.55,4,11211176,2242,33.6,32.0,5.00%
2347,聯強,82.3,4,7668358,1533,85.4,80.2,6.48%
2353,宏碁,27.45,4,14435602,2887,29.2,27.15,7.55%
2618,長榮航,33.75,4,15560487,3112,35.5,33.6,5.65%
2885,元大金,50.2,4,13165503,2633,51.9,49.75,4.32%
3231,緯創,139.5,4,3043659,608,146.0,132.5,10.19%
4904,遠傳,95.9,4,4060054,812,98.5,94.4,4.34%
4938,和碩,84.0,4,5281268,1056,86.0,80.1,7.37%
5876,上海商銀,40.0,4,12591851,2518,40.0,39.45,1.39%
9910,豐泰,76.1,4,3031700,606,79.3,76.0,4.34%
