股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1721,三晃,29.95,65.47%,32491,3.41
2474,可成,231.5,20.57%,17155,3.13
3162,精確,83.9,24.3%,22945,2.49
3217,優群,186.5,20.71%,11089,3.89
3338,泰碩,85.4,43.53%,20492,4.83
3430,奇鈦科,116.0,62.01%,11918,3.47
3605,宏致,77.8,20.62%,18887,3.36
4739,康普,100.5,21.52%,20255,2.29
4927,泰鼎-KY,54.3,19.6%,61902,2.19
4958,臻鼎-KY,325.0,23.34%,112780,1.93
6234,高僑,42.05,43.52%,11977,3.65
6261,久元,95.0,18.16%,10451,4.81
6290,良維,306.5,40.92%,27033,1.53
6415,矽力*-KY,415.5,47.34%,27282,1.8
6789,采鈺,515.0,51.92%,26055,2.22
8240,華宏,72.8,26.17%,19020,2.79
