排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,CPO_先進封裝測試,2.26,100.0,5/5,-16.43,-37.48,-2.88,-0.01
2,銅,3.76,100.0,10/10,-33.01,-19.52,26.91,43.72
3,PCB,5.56,100.0,15/15,34.32,50.97,60.75,28.51
4,TPU_伺服器主板與印刷電路板,6.29,100.0,5/5,-25.62,-28.92,44.32,35.74
5,銀,7.25,100.0,4/4,-100.33,-150.07,19.44,31.34
6,軍工_無人機相關,2.95,100.0,9/9,-54.45,-145.45,28.55,46.34
7,低軌衛星,5.94,100.0,7/7,44.39,5.02,-8.27,-13.88
8,記憶體製造,3.96,100.0,4/4,-133.56,-166.24,7.27,-23.49
9,記憶體模組,5.66,100.0,7/7,7.63,2.09,-4.48,-73.07
10,記憶體封裝與測試,6.98,100.0,4/4,13.39,34.97,-14.85,-44.7
11,被動元件,8.67,100.0,19/19,-98.99,-212.71,37.95,52.65
12,玻璃,1.94,93.33,14/15,-33.97,-58.3,10.38,6.25
13,光學元件或組裝,7.03,93.33,14/15,-29.51,-37.07,1.47,-7.78
14,鋼鐵,1.09,86.67,13/15,1.18,2.97,-3.61,-11.25
15,航運,1.93,86.67,13/15,11.17,28.57,-30.64,-77.96
16,機器人,2.82,85.71,12/14,2.3,-86.89,19.4,22.33
17,BBU_電池模組,3.39,85.71,6/7,10.72,17.11,-5.66,-12.8
18,半導體設備,2.98,85.71,6/7,-4.85,0.47,6.6,10.65
19,網通設備組件,3.51,85.0,17/20,-115.87,-242.95,40.21,79.47
20,IC設計,2.9,84.62,11/13,-84.23,-137.33,28.4,28.72
21,CPO_光通訊,5.0,83.33,5/6,-12.01,-6.45,-0.38,-6.04
22,軍工_航太製造與維修,2.11,83.33,5/6,2.35,1.99,0.0,-0.01
23,無塵室與機電工程,4.98,80.0,4/5,-7.85,12.99,-0.27,-16.63
24,BBU_電源供應器與整合,2.07,80.0,4/5,2.22,-74.62,18.67,21.9
25,電池或電源,2.95,80.0,16/20,1.86,-88.11,13.45,6.26
26,TPU_光通訊與連接器,2.89,75.0,3/4,-14.56,-16.01,-0.2,-10.18
27,TPU_散熱,2.96,75.0,3/4,-20.03,-25.52,0.78,-2.31
28,工業自動化與機器人,2.01,71.43,5/7,-2.68,0.79,0.37,0.4
29,造紙,0.43,71.43,5/7,0.06,0.69,-0.0,-0.01
30,電器電纜,2.56,70.0,7/10,-14.15,-37.33,2.15,2.54
31,軟體設計,0.28,66.67,10/15,0.21,5.26,-0.01,-0.05
32,記憶體控制IC,0.41,60.0,3/5,-4.73,-4.33,0.06,0.03
33,廠務系統與水處理,0.15,42.86,3/7,-0.11,0.15,-0.01,-0.02
34,化學,0.38,40.0,8/20,-26.25,-59.41,7.8,23.87
35,紡織,0.11,40.0,8/20,-6.2,-22.89,7.02,20.92
36,塑膠,-0.11,33.33,6/18,-17.8,-23.61,0.71,3.56
37,金融,-0.11,31.58,6/19,-17.8,-23.61,0.71,3.56
