股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1210,大成,54.5,5,25992000,5198,55.2,53.0,4.15%
1216,統一,74.1,4,6660407,1332,75.0,72.4,3.59%
1402,遠東新,27.7,5,106048611,21209,28.2,26.4,6.82%
2105,正新,34.2,5,74768502,14953,35.3,32.7,7.95%
2347,聯強,91.0,5,42418663,8483,93.9,84.1,11.65%
2412,中華電,142.0,5,6344644,1268,143.0,138.0,3.62%
2542,興富發,43.2,5,48388000,9677,43.7,41.2,6.07%
2597,潤弘,191.0,5,8969000,1793,191.0,172.5,10.72%
2884,玉山金,34.2,4,5059216,1011,34.35,32.05,7.18%
2886,兆豐金,43.55,5,13410312,2682,43.55,40.8,6.74%
2890,永豐金,34.25,5,3339270,667,34.4,31.15,10.43%
2892,第一金,30.5,5,5375426,1075,30.55,28.1,8.72%
3045,台灣大,117.0,4,4481525,896,117.0,114.0,2.63%
3293,鈊象,800.0,5,7414500,1482,809.0,740.0,9.32%
5871,中租-KY,119.5,5,44397163,8879,121.0,112.0,8.04%
9941,裕融,84.1,5,18860692,3772,85.4,77.9,9.63%
