公司名稱,股票代碼,最新收盤價,標的債券,債券代號,轉換價格,差異百分比,股票成交量,股票5MA,可轉債成交量,可轉債5MA
三集瑞一,6862,198.5,三集瑞一KY,68621,197.0,-0.76,1506859,550653.0,271,80.0
旭軟,3390,24.55,旭軟二,33902,24.2,-1.43,1192652,389452.0,32,9.0
五福,2745,108.5,五福一,27451,111.3,2.58,2122116,573223.0,114,27.0
