CB代號,CB名稱,個股現價,轉換價格,餘額比例(%),距轉換價差距(%),已發行/近期上市
84762,台境二,19.5,19.5,89.96,0.0,已發行CB
22363,百達三KY,118.0,118.1,22.80,-0.08,已發行CB
81473,正淩三,129.5,129.4,99.6,0.08,已發行CB
35513,世禾三,168.5,168.8,100,-0.18,已發行CB
24023,毅嘉三,53.4,53.3,100,0.19,已發行CB
69131,鴻呈一,124.5,123.7,100,0.65,已發行CB
36805,家登五,488.5,484.7,100,0.78,已發行CB
35161,亞帝歐一,25.35,25.62,100,-1.05,已發行CB
77431,金利食安一,22.8,22.5,100,1.33,已發行CB
77431,金利食安一,22.8,22.5,100,1.33,近期上市
81553,博智三,313.5,318.0,100,-1.42,已發行CB
74022,邑錡二,99.0,97.12,98.75,1.94,已發行CB
36806,家登六,488.5,478.9,100,2.0,已發行CB
61993,天品三,102.5,104.6,100,-2.01,已發行CB
31413,晶宏三,91.6,93.6,7.35,-2.14,已發行CB
69041,伯鑫一,122.0,124.7,100,-2.17,已發行CB
55344,長虹四,73.1,74.8,100,-2.27,已發行CB
61012,寬魚國際二,38.0,38.9,71.16,-2.31,已發行CB
66241,萬年清一,39.3,40.3,31,-2.48,已發行CB
41904,佐登四KY,25.4,26.1,100,-2.68,已發行CB
65761,逸達一,81.9,84.3,100,-2.85,已發行CB
45554,氣立四,41.65,42.9,100,-2.91,已發行CB
44391,冠星一KY,93.5,96.3,96.48,-2.91,已發行CB
64251,易發一,59.6,57.9,15.55,2.94,已發行CB
61011,寬魚國際一,38.0,36.9,96.8,2.98,已發行CB
35267,凡甲七,262.0,254.0,89.68,3.15,已發行CB
65852,鼎基二,102.5,106.1,34.95,-3.39,已發行CB
84113,福貞三KY,12.75,13.2,96.99,-3.41,已發行CB
65851,鼎基一,102.5,106.3,48.38,-3.57,已發行CB
27562,聯發國際二,62.0,64.3,100,-3.58,已發行CB
15602,中砂二,735.0,708.3,100,3.77,已發行CB
15602,中砂二,735.0,708.3,100,3.77,近期上市
99332,中鼎二,41.9,43.6,100.00,-3.9,已發行CB
14722,三洋實業二,88.3,91.9,98,-3.92,已發行CB
66034,富強鑫四,25.05,26.23,100,-4.5,已發行CB
27271,王品一,228.5,218.2,99.99,4.72,已發行CB
30166,嘉晶六,110.0,105.0,100,4.76,已發行CB
24271,三商電一,24.35,25.6,93.68,-4.88,已發行CB
68211,聯寶一,40.1,42.19,41.5,-4.95,已發行CB
35431,州巧一,42.0,44.2,100,-4.98,已發行CB
