股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
5206,坤悅,2025-12-11,30.75,30.6,-0.49%,6020,335,17.93
2331,精英,2025-12-11,21.5,22.9,6.51%,20780,2725,7.63
6443,元晶,2025-12-11,17.45,17.5,0.29%,104371,9091,11.48
2402,毅嘉,2025-12-11,68.0,62.8,-7.65%,72477,11628,6.23
2441,超豐,2025-12-11,80.0,83.8,4.75%,49479,5811,8.51
2323,中環,2025-12-11,10.1,10.85,7.43%,34781,5666,6.14
3313,斐成,2025-12-11,18.4,16.45,-10.6%,8104,897,9.03
1785,光洋科,2025-12-10,61.1,63.5,3.93%,30630,5437,5.63
2367,燿華,2025-12-10,27.0,25.35,-6.11%,37016,6707,5.52
6443,元晶,2025-12-10,16.05,17.5,9.03%,24942,4006,6.23
2388,威盛,2025-12-10,63.2,66.6,5.38%,43558,5066,8.6
6120,達運,2025-12-10,13.0,13.85,6.54%,22603,3349,6.75
3294,英濟,2025-12-10,43.75,41.4,-5.37%,10868,2037,5.33
4927,泰鼎-KY,2025-12-10,25.55,27.75,8.61%,33141,5533,5.99
6104,創惟,2025-12-09,100.0,98.0,-2.0%,8775,1410,6.22
3010,華立,2025-12-09,116.0,117.0,0.86%,9807,1785,5.49
3535,晶彩科,2025-12-09,96.8,85.5,-11.67%,41210,7560,5.45
2402,毅嘉,2025-12-09,56.0,62.8,12.14%,40006,6927,5.78
2388,威盛,2025-12-09,59.6,66.6,11.74%,19615,3155,6.22
2367,燿華,2025-12-09,25.6,25.35,-0.98%,41677,5091,8.19
8431,匯鑽科,2025-12-09,53.7,54.8,2.05%,5038,927,5.43
