排名,股票代碼,公司產業,公司名稱,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,3593,電子工業,力銘,36.4,57.2,,,,,
2,6788,半導體類,華景電,12.4,56.1,250.5,323.5,245.5,323.0,28.9
3,3060,電子工業,銘異,6.2,45.3,29.75,35.2,29.65,33.55,12.8
4,8489,其他,三貝德,16.6,36.5,40.8,43.6,39.65,42.3,3.7
5,3323,電腦及週邊類,加百裕,7.0,35.7,40.35,44.75,38.65,43.0,6.6
6,3011,電子工業,今皓,6.2,25.6,13.7,14.7,13.1,14.2,3.6
7,3236,電子零組件類,千如,5.7,17.2,27.1,29.9,25.9,28.05,3.5
8,6443,光電業,元晶,2.2,12.9,17.9,25.55,17.6,22.6,26.3
9,5498,電子零組件類,凱崴,3.3,9.1,28.75,36.9,28.15,36.9,28.3
10,2726,觀光事業,雅茗-KY,4.9,8.1,14.3,16.0,13.4,13.45,-5.9
11,6558,其他電子業,興能高,3.3,8.0,38.5,41.55,37.05,39.0,1.3
12,3551,其他電子類,世禾,4.6,7.8,217.0,221.0,189.0,191.0,-12.0
13,2329,半導體業,華泰,2.6,6.1,47.15,53.9,47.1,49.7,5.4
14,8066,居家生活類,來思達,1.5,5.9,19.8,20.05,19.65,19.85,0.3
15,6265,電子通路類,方土昶,3.2,5.9,19.55,23.3,19.1,20.55,5.1
16,2369,半導體業,菱生,1.7,5.7,22.9,23.9,22.2,22.3,-2.6
17,6770,半導體業,力積電,2.4,5.6,34.0,37.35,33.1,36.8,8.2
18,5521,建材營造,工信,3.7,5.3,17.2,22.65,17.05,20.85,21.2
19,2337,半導體業,旺宏,1.8,5.3,36.4,39.8,35.85,37.15,2.1
20,8027,電機機械,鈦昇,2.1,5.3,104.0,117.0,102.0,112.5,8.2
21,4768,化學工業,晶呈科技,2.0,4.5,232.0,299.5,231.0,299.0,28.9
22,3535,光電業,晶彩科,1.6,4.5,86.1,92.5,84.1,91.0,5.7
23,6499,生技醫療類,益安,1.8,4.1,97.7,97.7,90.6,91.5,-6.3
24,8277,半導體類,商丞,0.6,4.0,8.72,9.8,8.42,9.2,5.5
25,6243,半導體業,迅杰,1.0,4.0,33.55,39.3,33.5,34.35,2.4
26,3047,通信網路業,訊舟,0.7,3.8,17.75,21.3,17.6,18.5,4.2
27,3687,數位雲端類,歐買尬,1.4,3.7,79.8,84.8,78.6,83.9,5.1
28,2365,電子工業,昆盈,0.7,3.6,36.4,36.45,34.8,35.35,-2.9
29,1560,電機機械,中砂,2.2,3.5,358.5,386.0,354.5,365.0,1.8
30,1587,汽車工業,吉茂,1.8,3.5,44.0,51.7,43.3,51.7,17.5
31,3234,通信網路類,光環,0.9,3.5,44.7,45.5,42.4,43.15,-3.5
32,3563,光電業,牧德,1.8,3.5,511.0,544.0,478.0,514.0,0.6
33,6651,半導體類,全宇昕,1.2,3.4,80.3,80.8,76.9,80.8,0.6
34,3527,半導體類,聚積,1.0,3.3,57.8,64.2,56.0,59.6,3.1
35,2405,電子工業,輔信,0.8,3.3,18.45,18.95,18.15,18.5,0.3
36,6588,通信網路類,東典光電,1.3,3.2,43.5,55.5,41.85,47.0,8.0
37,6624,其他,萬年清,2.0,3.2,71.1,71.1,59.7,62.2,-12.5
38,8033,其他,雷虎,1.0,3.1,138.0,145.0,135.5,144.5,4.7
39,4931,電腦及週邊類,新盛力,1.5,3.1,178.0,188.5,164.0,184.5,3.7
40,9949,文化創意業,琉園,2.0,3.0,26.8,28.2,25.3,27.15,1.3
41,6207,電子零組件類,雷科,0.6,3.0,48.5,48.95,45.75,46.25,-4.6
42,2485,通信網路業,兆赫,0.8,3.0,26.6,31.0,26.4,29.1,9.4
43,5328,電子零組件類,華容,1.1,2.9,20.85,22.2,20.3,21.1,1.2
44,6133,電子工業,金橋,1.4,2.9,21.2,23.85,19.5,21.35,0.7
45,6799,半導體業,來頡,1.0,2.9,83.3,88.0,82.2,83.7,0.5
46,8390,其他,金益鼎,1.4,2.8,87.9,99.8,84.8,86.1,-2.0
47,3455,光電業類,由田,0.7,2.7,93.5,94.4,89.5,92.5,-1.1
48,3491,通信網路類,昇達科,1.1,2.7,593.0,639.0,586.0,624.0,5.2
49,1784,生技醫療類,訊聯,0.7,2.5,100.0,109.5,99.6,99.6,-0.4
50,2236,汽車工業,百達-KY,1.7,2.4,113.5,118.0,111.0,114.0,0.4
