股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1102,亞泥,36.7,5,47362543,9472,37.05,35.95,3.06%
1215,卜蜂,135.5,5,9632000,1926,140.0,133.5,4.87%
1216,統一,80.5,5,97646682,19529,80.5,76.0,5.92%
2027,大成鋼,35.35,5,33195000,6639,36.1,34.7,4.03%
2211,長榮鋼,103.0,5,11270657,2254,107.5,100.5,6.97%
2357,華碩,551.0,5,20122323,4024,564.0,540.0,4.44%
2360,致茂,789.0,4,8065933,1613,799.0,737.0,8.41%
2441,超豐,88.9,5,3539000,707,92.8,83.9,10.61%
2458,義隆,124.5,4,4398761,879,129.5,122.0,6.15%
2603,長榮,191.0,5,18962059,3792,192.0,182.0,5.49%
2606,裕民,62.0,5,12502451,2500,62.0,60.0,3.33%
2645,長榮航太,147.5,5,12968000,2593,150.0,138.5,8.30%
2880,華南金,32.35,5,130244474,26048,32.5,31.35,3.67%
2883,凱基金,17.35,5,25425178,5085,17.85,17.25,3.48%
2884,玉山金,34.15,5,405131979,81026,34.15,32.75,4.27%
2886,兆豐金,40.6,4,8306232,1661,41.2,40.25,2.36%
2887,台新金,20.6,5,646494824,129298,21.9,20.6,6.31%
2890,永豐金,28.95,5,23849360,4769,29.4,28.65,2.62%
2903,遠百,22.25,5,18925000,3785,22.7,22.1,2.71%
3036,文曄,140.0,5,16015000,3203,156.0,140.0,11.43%
3045,台灣大,111.5,5,134760543,26952,111.5,104.0,7.21%
3702,大聯大,57.2,5,23929000,4785,60.5,57.2,5.77%
6005,群益證,24.05,5,13759198,2751,25.15,24.05,4.57%
8422,可寧衛,26.65,5,57400000,11480,26.95,24.1,11.83%
9904,寶成,30.3,5,4559627,911,31.1,30.2,2.98%
9907,統一實,18.2,5,31686217,6337,18.65,17.9,4.19%
9941,裕融,90.1,5,2613000,522,94.8,90.1,5.22%
