股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1528,恩德,20.05,28.53%,17060,3.8
2367,燿華,28.35,11.83%,17520,2.62
2399,映泰,26.35,3.74%,15713,1.56
2406,國碩,27.3,9.42%,17150,2.11
2413,環科,42.55,43.75%,23476,3.22
2441,超豐,88.9,6.09%,14391,2.91
2495,普安,31.75,11.4%,13729,1.68
2880,華南金,32.35,5.2%,53905,3.34
2884,玉山金,34.15,5.56%,91774,1.99
3264,欣銓,102.0,7.71%,34785,1.62
3265,台星科,122.5,8.89%,11157,4.57
3576,聯合再生,9.41,47.03%,23929,2.73
3689,湧德,115.0,12.75%,10914,1.87
3701,大眾控,52.3,52.26%,34046,6.83
4927,泰鼎-KY,35.25,27.03%,20966,2.98
4979,華星光,303.0,19.53%,31656,2.04
5498,凱崴,46.5,62.02%,56529,2.56
6163,華電網,59.6,29.85%,15601,1.72
6239,力成,175.0,8.02%,33706,1.69
6257,矽格,109.5,6.31%,29410,2.32
6443,元晶,29.1,66.29%,22574,2.23
8074,鉅橡,50.5,32.89%,22712,3.15
