股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1304,台聚,14.15,18.41%,32280,1.71
1305,華夏,15.45,28.22%,25023,2.62
1308,亞聚,16.05,17.58%,15625,2.28
1309,台達化,17.15,35.04%,16373,3.92
1310,台苯,11.85,22.16%,23101,2.78
1312,國喬,14.4,12.5%,41159,1.65
1708,東鹼,46.45,29.57%,26856,6.01
1710,東聯,14.85,16.02%,23951,2.28
1711,永光,43.25,59.59%,77790,3.04
1785,光洋科,101.5,61.88%,60503,1.75
2369,菱生,32.5,21.5%,46739,1.86
2485,兆赫,80.1,56.75%,130921,2.4
2605,新興,43.35,24.03%,53657,2.82
3006,晶豪科,217.0,46.62%,54409,1.73
3033,威健,35.2,16.36%,14343,3.22
3049,精金,16.4,21.48%,44219,1.86
3189,景碩,383.5,28.91%,66787,1.69
3380,明泰,36.65,3.53%,10941,1.71
3714,富采,48.5,26.47%,26003,4.16
3715,定穎投控,190.5,27.42%,74974,1.68
4739,康普,83.2,16.69%,13451,2.77
4919,新唐,99.4,36.16%,20272,1.5
4956,光鋐,34.9,42.45%,16086,4.13
4977,眾達-KY,192.0,19.25%,19477,1.81
6226,光鼎,14.65,66.48%,19014,5.24
6290,良維,241.0,2.12%,18844,1.95
6456,GIS-KY,64.7,13.51%,22416,3.45
6509,聚和,46.3,14.6%,13045,5.75
8240,華宏,59.6,52.62%,14102,4.03
