排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,TPU_散熱,6.3,100.0,4/4,91.42,76.58,6.24,1.07
2,CPO_光通訊,3.17,83.33,5/6,-4.17,-39.03,1.62,-10.8
3,TPU_伺服器主板與印刷電路板,4.87,80.0,4/5,55.45,113.25,-0.14,2.81
4,塑膠,2.89,77.78,14/18,-11.77,-32.36,0.14,0.6
5,TPU_光通訊與連接器,4.5,75.0,3/4,12.54,42.84,6.5,-2.96
6,金融,2.68,73.68,14/19,-11.77,-32.36,0.14,0.6
7,記憶體模組,4.85,71.43,5/7,-23.85,-48.02,9.18,7.47
8,廠務系統與水處理,-0.27,57.14,4/7,0.94,6.52,0.05,0.04
9,PCB,1.71,53.33,8/15,27.07,54.06,14.07,18.03
10,光學元件或組裝,0.29,53.33,8/15,-5.28,-29.18,0.99,-0.13
11,記憶體製造,0.81,50.0,2/4,-38.37,30.64,-7.18,2.48
12,化學,1.36,50.0,10/20,-15.69,-48.71,-1.04,-1.79
13,記憶體控制IC,-1.01,40.0,2/5,-0.57,16.8,0.11,0.06
14,網通設備組件,0.95,40.0,8/20,22.71,-11.74,6.05,-14.27
15,IC設計,-1.21,30.77,4/13,-77.31,-72.98,21.19,24.37
16,紡織,-0.92,30.0,6/20,-5.1,-10.83,0.98,-0.03
17,銅,-0.11,30.0,3/10,18.9,4.24,-3.77,-0.9
18,低軌衛星,-0.88,28.57,2/7,-37.89,-57.86,2.68,1.07
19,銀,-0.94,25.0,1/4,16.46,16.34,-8.4,-7.62
20,記憶體封裝與測試,-0.54,25.0,1/4,-4.37,-26.64,-0.08,-2.89
21,軍工_無人機相關,-1.25,22.22,2/9,-50.18,-79.55,-3.73,-8.38
22,被動元件,-1.06,21.05,4/19,30.87,109.66,-10.2,-7.88
23,玻璃,0.03,20.0,3/15,11.12,20.12,-7.25,1.07
24,無塵室與機電工程,-2.9,20.0,1/5,-6.35,-14.6,-4.15,-14.06
25,CPO_先進封裝測試,0.14,20.0,1/5,4.94,11.42,-2.28,2.05
26,軟體設計,-0.77,20.0,3/15,-0.52,0.93,0.15,0.14
27,半導體設備,-0.63,14.29,1/7,5.72,10.18,-0.83,-0.85
28,機器人,-2.42,7.14,1/14,12.01,92.13,-2.35,-3.05
29,鋼鐵,-1.73,0.0,0/15,-16.28,-7.36,-2.27,-4.78
30,電器電纜,-2.33,0.0,0/10,-7.91,-5.11,-3.0,-4.27
31,BBU_電池模組,-1.57,0.0,0/7,-0.59,-1.61,-0.67,-1.6
32,造紙,-1.06,0.0,0/7,-0.23,-0.39,0.0,-0.01
33,軍工_航太製造與維修,-2.05,0.0,0/6,-1.97,-1.12,-0.84,-0.26
34,航運,-1.39,0.0,0/15,4.83,8.98,-0.89,3.36
35,BBU_電源供應器與整合,-2.6,0.0,0/5,10.87,95.0,-1.84,0.55
36,工業自動化與機器人,-2.03,0.0,0/7,-2.17,-3.11,-0.39,-1.59
37,電池或電源,-2.08,0.0,0/20,7.47,92.62,-2.79,-2.75
