股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1303,南亞,234.0,5,9641832,1928,245.5,220.5,11.34%
2303,聯電,142.5,5,28358540,5671,145.5,135.0,7.78%
2352,佳世達,28.75,5,2531000,506,29.2,28.2,3.55%
2542,興富發,45.7,5,4128400,825,48.35,45.25,6.85%
2603,長榮,237.0,5,6996497,1399,237.0,227.0,4.41%
2637,慧洋-KY,101.0,4,3366440,673,104.0,96.6,7.66%
2801,彰銀,28.55,5,28631825,5726,28.65,26.3,8.94%
2855,統一證,52.9,5,7278029,1455,53.5,50.5,5.94%
2883,凱基金,38.8,4,9337363,1867,39.0,36.0,8.33%
2884,玉山金,46.35,5,27561284,5512,46.4,43.4,6.91%
2887,台新金,43.55,5,53549637,10709,43.6,40.95,6.47%
2890,永豐金,44.8,4,13247172,2649,45.1,42.15,7.00%
2891,中信金,68.1,5,12521445,2504,68.3,66.0,3.48%
2892,第一金,39.85,4,20092663,4018,40.0,36.85,8.55%
3105,穩懋,444.0,5,7410830,1482,478.0,420.0,13.81%
4938,和碩,90.2,5,4996878,999,92.8,89.5,3.69%
5347,世界,159.5,4,4720426,944,163.0,151.5,7.59%
