排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,軟體設計,2.89,66.67,10/15,-4.39,-2.64,0.01,-0.45
2,BBU_電源供應器與整合,0.28,60.0,3/5,8.06,-199.81,-1.07,-42.64
3,廠務系統與水處理,-0.08,57.14,4/7,0.3,-0.29,0.0,0.02
4,IC設計,1.13,53.85,7/13,45.22,2.52,27.11,54.67
5,銀,-0.39,50.0,2/4,16.25,-54.73,-1.59,0.54
6,軍工_無人機相關,0.06,50.0,4/8,31.09,76.02,5.45,13.1
7,銅,1.7,40.0,4/10,14.78,-3.35,1.09,-9.55
8,無塵室與機電工程,-0.44,40.0,2/5,-1.74,-16.61,-0.98,-2.45
9,CPO_光通訊,-1.15,33.33,2/6,1.41,-4.46,0.56,-11.54
10,軍工_航太製造與維修,-0.8,33.33,2/6,-1.24,-6.73,0.0,0.0
11,被動元件,-0.95,31.58,6/19,14.53,-270.85,-2.92,-36.29
12,BBU_電池模組,-0.38,28.57,2/7,-0.45,-8.19,0.5,1.66
13,玻璃,-1.21,26.67,4/15,6.5,-12.4,4.73,20.04
14,金融,-0.6,26.32,5/19,-22.43,-56.98,6.09,21.54
15,電池或電源,-0.67,25.0,5/20,7.31,-208.33,-0.42,-40.73
16,記憶體封裝與測試,-0.46,25.0,1/4,4.94,-20.95,-2.57,-2.73
17,TPU_光通訊與連接器,-1.73,25.0,1/4,7.65,21.96,-4.27,-32.4
18,TPU_散熱,-2.43,25.0,1/4,4.98,17.17,-7.22,-10.63
19,塑膠,-0.76,22.22,4/18,-22.43,-56.98,6.09,21.54
20,PCB,-0.61,20.0,3/15,32.33,23.98,-9.63,-3.51
21,光學元件或組裝,-2.69,20.0,3/15,5.91,-44.13,-4.49,32.02
22,記憶體控制IC,-0.93,20.0,1/5,-7.9,-25.39,0.0,0.15
23,化學,-1.12,20.0,4/20,-25.61,-71.38,5.13,19.51
24,CPO_先進封裝測試,-1.01,20.0,1/5,7.96,9.5,-4.44,-0.41
25,紡織,-0.65,15.0,3/20,-0.04,-7.97,-0.7,-1.44
26,網通設備組件,-1.18,15.0,3/20,32.54,71.87,-3.83,-26.84
27,低軌衛星,-0.74,14.29,1/7,5.85,23.75,-0.68,-19.4
28,造紙,-0.45,14.29,1/7,0.02,0.22,-0.03,-0.03
29,半導體設備,-1.54,14.29,1/7,7.42,0.46,-1.84,-4.11
30,航運,-0.51,13.33,2/15,-10.57,0.16,10.7,19.08
31,鋼鐵,-1.33,13.33,2/15,-16.42,-40.17,-1.82,24.54
32,電器電纜,-0.94,10.0,1/10,-0.67,-1.9,0.21,0.49
33,機器人,-2.8,7.14,1/14,-17.26,-224.52,-0.98,-37.4
34,TPU_伺服器主板與印刷電路板,-0.82,0.0,0/5,33.12,32.28,-13.62,-18.95
35,記憶體製造,-3.32,0.0,0/4,-110.29,-265.42,-29.87,-37.54
36,工業自動化與機器人,-4.19,0.0,0/7,-20.13,-21.62,0.25,0.29
37,記憶體模組,-1.42,0.0,0/7,-7.63,-23.09,0.46,-13.6
