排名,股票代碼,公司名稱,公司產業,上市櫃,今日主力買超(張),5日累積買超(張)
1,1314,中石化,塑膠工業,上市,6510,118827
2,2887,台新金,金融保險業,上市,20676,61623
3,1409,新纖,紡織纖維,上市,19754,34835
4,2883,凱基金,金融保險業,上市,48933,32852
5,2892,第一金,金融保險業,上市,13850,29162
6,2105,正新,橡膠工業,上市,3964,28488
7,1717,長興,化學工業,上市,-14442,24966
8,2618,長榮航,航運業,上市,9261,24030
9,1313,聯成,塑膠工業,上市,688,22285
10,2812,台中銀,金融保險業,上市,5722,21132
11,2890,永豐金,金融保險業,上市,3549,20838
12,2885,元大金,金融保險業,上市,9028,19875
13,1609,大亞,電器電纜,上市,-64,19320
14,8150,南茂,半導體業,上市,-8079,17619
15,1216,統一,食品工業,上市,2883,15811
16,5483,中美晶,半導體業,上櫃,4987,15731
17,4989,榮科,電子零組件業,上市,-940,14948
18,5880,合庫金,金融保險業,上市,7193,13699
19,2867,三商壽,金融保險業,上市,3335,13573
20,5351,鈺創,半導體業,上櫃,10902,13062
21,2886,兆豐金,金融保險業,上市,6304,13016
22,2834,臺企銀,金融保險業,上市,3921,12884
23,1909,榮成,造紙工業,上市,2837,12265
24,2103,台橡,橡膠工業,上市,1679,12004
25,5425,台半,半導體業,上櫃,300,11994
26,2880,華南金,金融保險業,上市,6681,11602
27,1303,南亞,塑膠工業,上市,-2656,11443
28,2377,微星,電腦及週邊設備業,上市,1229,10582
29,3042,晶技,電子零組件業,上市,4736,10267
30,2845,遠東銀,金融保險業,上市,1018,10229
31,2515,中工,建材營造業,上市,1351,10213
32,3605,宏致,電子零組件業,上市,769,10069
33,2542,興富發,建材營造業,上市,536,9779
34,1210,大成,食品工業,上市,968,9216
35,2884,玉山金,金融保險業,上市,9273,9099
36,8033,雷虎,其他業,上市,796,8915
37,3706,神達,電腦及週邊設備業,上市,2427,8870
38,1504,東元,電機機械,上市,-635,8801
39,8131,福懋科,半導體業,上市,-1975,8234
40,2323,中環,光電業,上市,-1307,7715
41,6505,台塑化,油電燃氣業,上市,2676,7399
42,6257,矽格,半導體業,上市,-5718,6940
43,2356,英業達,電腦及週邊設備業,上市,2375,6793
44,3005,神基,電腦及週邊設備業,上市,228,6326
45,6191,精成科,電子零組件業,上市,482,6300
46,2371,大同,電機機械,上市,-570,6151
47,4743,合一,生技醫療業,上櫃,-186,6026
48,2547,日勝生,建材營造業,上市,-618,6016
49,2201,裕隆,汽車工業,上市,743,5804
50,3663,鑫科,其他電子業,上櫃,-40,5776
