股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1402,遠東新,27.85,5,11093757,2218,29.9,27.7,7.94%
2027,大成鋼,40.55,5,2619149,523,41.65,40.15,3.74%
2317,鴻海,237.5,5,7751747,1550,247.5,234.0,5.77%
2347,聯強,89.1,5,17161877,3432,98.3,88.0,11.70%
2356,英業達,66.2,5,24039918,4807,69.2,63.6,8.81%
2376,技嘉,335.0,5,4134410,826,344.0,327.0,5.20%
2377,微星,142.0,5,10961837,2192,147.0,136.0,8.09%
2379,瑞昱,817.0,5,3534960,706,845.0,769.0,9.88%
2382,廣達,377.0,5,10154321,2030,393.0,365.5,7.52%
2412,中華電,139.5,5,15510482,3102,142.5,139.5,2.15%
2458,義隆,186.0,5,6805539,1361,196.5,175.5,11.97%
2474,可成,195.0,4,5271813,1054,214.0,192.0,11.46%
2542,興富發,43.5,5,3892000,778,45.0,42.1,6.89%
2610,華航,22.05,5,26882788,5376,22.95,21.8,5.28%
2618,長榮航,39.85,4,8070560,1614,44.3,39.2,13.01%
2633,台灣高鐵,26.6,5,3705000,741,26.9,26.2,2.67%
2880,華南金,39.7,4,3987074,797,39.7,36.1,9.97%
2885,元大金,71.5,5,9027819,1805,71.9,65.0,10.62%
2886,兆豐金,46.8,5,66468341,13293,47.25,45.35,4.19%
2890,永豐金,41.9,5,32054007,6410,42.0,39.15,7.28%
2891,中信金,71.3,5,23160920,4632,72.2,69.7,3.59%
2892,第一金,34.1,5,39282428,7856,34.1,32.0,6.56%
3023,信邦,319.5,5,4160800,832,350.0,319.0,9.72%
3045,台灣大,113.0,5,19605203,3921,120.0,113.0,6.19%
3227,原相,228.0,5,2500000,500,250.0,226.0,10.62%
3231,緯創,146.5,4,14766989,2953,162.0,145.0,11.72%
3702,大聯大,105.5,4,9591999,1918,112.5,104.5,7.66%
3706,神達,88.2,4,22549000,4509,93.4,86.6,7.85%
4915,致伸,68.2,4,3907827,781,70.6,66.1,6.81%
5434,崇越,509.0,5,3028755,605,552.0,501.0,10.18%
5469,瀚宇博,83.5,5,8711000,1742,90.6,81.4,11.30%
5876,上海商銀,42.55,5,2933000,586,42.75,41.55,2.89%
6191,精成科,105.5,4,11030000,2206,113.5,101.0,12.38%
6278,台表科,200.0,5,4822000,964,219.5,195.0,12.56%
6282,康舒,59.0,5,2514000,502,62.0,55.7,11.31%
8069,元太,199.0,5,6156880,1231,222.0,195.5,13.55%
8422,可寧衛,27.3,4,8781000,1756,29.8,26.5,12.45%
