股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
1905,華紙,2026-03-27,14.65,15.4,5.12%,63599,7408,8.59
2231,為升,2026-03-27,112.5,125.0,11.11%,6116,1045,5.85
2419,仲琦,2026-03-27,33.2,35.4,6.63%,42074,6204,6.78
2484,希華,2026-03-27,27.5,30.9,12.36%,14208,2634,5.39
3026,禾伸堂,2026-03-27,138.0,151.0,9.42%,28955,3989,7.26
4906,正文,2026-03-27,37.0,37.1,0.27%,116104,18522,6.27
6821,聯寶,2026-03-27,55.8,55.9,0.18%,5935,470,12.61
1904,正隆,2026-03-26,19.0,20.15,6.05%,12020,2271,5.29
3339,泰谷,2026-03-26,40.95,39.15,-4.4%,19370,3849,5.03
5244,弘凱,2026-03-26,45.1,38.2,-15.3%,6412,974,6.58
3031,佰鴻,2026-03-25,23.55,23.7,0.64%,12409,2295,5.41
4510,高鋒,2026-03-25,44.45,43.8,-1.46%,6652,1168,5.69
6168,宏齊,2026-03-25,26.5,24.75,-6.6%,62475,8830,7.08
