股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
2027,大成鋼,37.7,4,8179000,1635,37.7,35.7,5.60%
2317,鴻海,223.0,5,4918076,983,241.0,216.5,11.32%
2412,中華電,136.5,5,2741000,548,138.0,134.5,2.60%
2880,華南金,35.2,5,7336000,1467,38.0,34.75,9.35%
2881,富邦金,88.8,4,8566918,1713,94.2,88.6,6.32%
2882,國泰金,73.0,5,16585719,3317,79.4,72.6,9.37%
2883,凱基金,20.4,5,11595000,2319,21.6,19.75,9.37%
2884,玉山金,34.0,5,6194982,1238,35.1,33.35,5.25%
2885,元大金,45.9,4,5797752,1159,48.6,44.55,9.09%
2887,台新金,24.4,5,132903900,26580,25.4,23.9,6.28%
2890,永豐金,31.65,5,8547238,1709,33.2,31.05,6.92%
3702,大聯大,72.0,4,4058828,811,72.0,64.8,11.11%
5880,合庫金,23.4,5,3356133,671,24.0,23.3,3.00%
