股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
9908,大台北,2026-03-06,31.5,31.95,1.43%,5169,912,5.66
2543,皇昌,2026-03-06,72.0,78.4,8.89%,28761,4435,6.49
6761,穩得,2026-03-06,168.5,168.5,0.0%,7924,1478,5.36
6141,柏承,2026-03-06,18.5,17.95,-2.97%,12120,1371,8.84
4952,凌通,2026-03-06,48.25,50.8,5.28%,10409,1665,6.25
4123,晟德,2026-03-05,49.8,48.95,-1.71%,45475,7728,5.88
2601,益航,2026-03-05,7.22,6.79,-5.96%,35660,4086,8.73
6757,台灣虎航,2026-03-05,56.9,51.7,-9.14%,8610,1617,5.32
4123,晟德,2026-03-04,48.5,48.95,0.93%,39716,5636,7.05
6994,富威電力,2026-03-04,100.0,84.9,-15.1%,9312,971,9.59
1310,台苯,2026-03-04,10.7,10.65,-0.47%,26987,4737,5.7
1313,聯成,2026-03-04,12.85,13.5,5.06%,50945,8845,5.76
3498,陽程,2026-03-04,62.0,61.5,-0.81%,21821,2894,7.54
2615,萬海,2026-03-04,90.0,78.6,-12.67%,121525,17222,7.06
2613,中櫃,2026-03-04,29.45,25.8,-12.39%,14268,1566,9.11
2609,陽明,2026-03-04,68.9,60.7,-11.9%,288355,38153,7.56
1582,信錦,2026-03-04,75.5,90.5,19.87%,16751,2483,6.75
9908,大台北,2026-03-04,30.85,31.95,3.57%,7418,557,13.31
