CB代號,CB名稱,個股現價,轉換價格,餘額比例(%),距轉換價差距(%),已發行/近期上市
84762,台境二,19.4,19.5,90,-0.51,已發行CB
12561,鮮活果汁一KY,181.5,182.5,99.15,-0.55,已發行CB
41904,佐登四KY,25.95,26.1,100,-0.57,已發行CB
62822,康舒二,44.9,45.2,99.92,-0.66,已發行CB
82103,勤誠三,969.0,975.6,100,-0.68,已發行CB
811211,至上11,90.8,90.1,100,0.78,已發行CB
81473,正淩三,131.0,129.4,99.6,1.24,已發行CB
53097,系統電七,53.9,54.6,99.08,-1.28,已發行CB
61012,寬魚國際二,38.4,38.9,71.16,-1.29,已發行CB
23032,聯電二,129.0,130.7,100,-1.3,近期上市
52845,jpp五KY,323.0,318.5,100,1.41,已發行CB
68211,聯寶一,41.55,42.19,41.5,-1.52,已發行CB
84113,福貞三KY,13.0,13.2,100,-1.52,已發行CB
53211,美而快一,86.7,85.3,2.15,1.64,已發行CB
36805,家登五,493.0,484.7,100,1.71,已發行CB
30166,嘉晶六,103.0,105.0,100,-1.9,已發行CB
30166,嘉晶六,103.0,105.0,100,-1.9,近期上市
35161,亞帝歐一,26.15,25.62,100,2.07,已發行CB
14722,三洋實業二,90.0,91.9,100,-2.07,已發行CB
30454,台灣大四,116.0,113.5,99.71,2.2,已發行CB
24867,一詮七,263.0,256.0,100,2.73,已發行CB
44391,冠星一KY,99.0,96.3,97.42,2.8,已發行CB
82102,勤誠二,969.0,997.3,100,-2.84,已發行CB
22363,百達三KY,121.5,118.1,22.80,2.88,已發行CB
36806,家登六,493.0,478.9,100,2.94,已發行CB
15142,亞力二,102.0,105.1,100,-2.95,已發行CB
15602,中砂二,683.0,708.3,100,-3.57,近期上市
65761,逸達一,81.2,84.3,100,-3.68,已發行CB
61011,寬魚國際一,38.4,36.9,96.8,4.07,已發行CB
76311,聚賢研發一創,144.0,150.8,100,-4.51,近期上市
76311,聚賢研發一創,144.0,150.8,100,-4.51,已發行CB
66034,富強鑫四,25.4,26.63,100,-4.62,已發行CB
35122,皇龍二,19.55,20.5,100,-4.63,近期上市
35122,皇龍二,19.55,20.5,100,-4.63,已發行CB
14723,三洋實業三,90.0,94.6,100,-4.86,已發行CB
26418,正德八,17.9,18.82,92.08,-4.89,已發行CB
