股票代碼,公司名稱,當下價格,當下漲跌幅(%),外資昨日買超(張),外資前三日總買超(張),投信昨日買超(張),投信前三日總買超(張)
2049,上銀,253.0,10.0,368.98,-2279.57,-318.29,-323.15
2338,光罩,54.1,9.95,1849.99,1934.98,0.0,0.0
3380,明泰,34.35,9.92,-1587.07,-1454.07,0.0,0.0
4909,新復興,69.8,9.92,-120.0,-1051.9,0.0,0.0
6152,百一,20.05,9.86,1224.1,1309.1,0.0,0.0
8039,台虹,106.5,9.79,4713.57,4461.34,-2.0,-9.0
3005,神基,124.0,9.73,-1559.52,-1350.77,-828.0,-1400.0
8438,昶昕,75.8,9.22,-20.95,-4.85,0.0,-4.0
1809,中釉,27.1,5.65,-491.1,-631.1,0.0,0.0
2377,微星,98.6,4.55,2126.49,123.73,6.57,-25.31
2481,強茂,94.6,4.41,608.78,551.18,-500.0,-895.34
4123,晟德,45.0,2.73,993.81,3566.38,0.0,0.0
