股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1802,台玻,67.2,26.55%,244135,1.94
2338,光罩,54.1,43.31%,15269,3.06
2360,致茂,1515.0,47.09%,10658,1.54
2367,燿華,70.9,19.16%,193395,1.99
2406,國碩,36.35,22.39%,73886,1.69
2409,友達,16.85,11.22%,348697,1.7
2455,全新,239.0,31.68%,13349,2.08
2489,瑞軒,43.55,91.01%,24782,1.8
2603,長榮,210.0,11.41%,50248,2.36
2609,陽明,60.0,13.64%,80212,2.15
3481,群創,28.55,24.13%,1001949,2.32
3576,聯合再生,24.3,80.0%,71713,2.55
4123,晟德,45.0,12.22%,11918,2.38
4919,新唐,79.9,34.29%,17518,3.71
4977,眾達-KY,174.0,27.94%,38129,2.04
6152,百一,20.05,38.28%,14820,2.17
6187,萬潤,565.0,45.24%,11024,3.8
6244,茂迪,36.3,34.69%,66580,2.79
6505,台塑化,56.5,13.45%,40909,2.19
6789,采鈺,376.0,29.21%,12380,3.18
