股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1513,中興電,184.0,25.6%,24170,5.48
1514,亞力,142.5,45.71%,29051,4.98
1529,樂事綠能,27.1,39.69%,16900,6.02
1618,合機,50.1,22.2%,17642,6.27
2313,華通,171.0,48.05%,86666,1.77
2324,仁寶,33.35,12.86%,138469,2.83
2355,敬鵬,39.35,24.13%,27495,3.55
2365,昆盈,38.65,10.9%,22726,2.24
2367,燿華,44.1,44.12%,174326,3.65
2484,希華,30.65,49.15%,15139,6.25
3037,欣興,339.0,50.33%,45013,2.03
3044,健鼎,360.5,13.19%,12357,1.64
3189,景碩,214.0,27.0%,31668,2.37
3532,台勝科,146.5,32.58%,15578,2.51
3630,新鉅科,35.0,14.01%,10936,2.76
4916,事欣科,64.8,11.34%,11669,1.78
5347,世界,146.5,35.02%,34448,2.66
5483,中美晶,123.5,7.86%,12051,1.75
6190,萬泰科,51.8,7.92%,20348,1.87
6215,和椿,121.5,16.83%,10961,2.8
6271,同欣電,153.0,24.39%,29238,3.07
6285,啟碁,155.0,49.76%,66634,4.67
6548,長科*,59.1,26.69%,30102,2.44
