股票代碼,公司名稱,符合策略數,符合策略
1609,大亞,4,"外資買超, 強勢股, 盤整突破, 隔日衝"
2356,英業達,4,"外資買超, 強勢股, 盤整突破, 隔日衝"
2327,國巨,3,"外資買超, 強勢股, 投信連續"
2481,強茂,3,"外資買超, 大戶持有, 強勢股"
1513,中興電,3,"外資買超, 強勢股, 盤整突破"
6190,萬泰科,3,"外資買超, 大戶持有, 強勢股"
5425,台半,3,"外資買超, 大戶持有, 強勢股"
1514,亞力,3,"外資買超, 強勢股, 盤整突破"
2301,光寶科,2,"外資買超, 隔日衝"
3211,順達,2,"外資買超, 隔日衝"
6213,聯茂,2,"外資買超, 隔日衝"
2618,長榮航,2,"外資買超, 強勢股"
2610,華航,2,"外資買超, 強勢股"
2324,仁寶,2,"外資買超, 強勢股"
6770,力積電,2,"外資買超, 大戶持有"
6548,長科*,2,"外資買超, 強勢股"
1503,士電,2,"外資買超, 強勢股"
6285,啟碁,2,"外資買超, 強勢股"
8996,高力,2,"外資買超, 大戶持有"
1529,樂事綠能,2,"強勢股, 盤整突破"
1618,合機,2,"強勢股, 盤整突破"
2342,茂矽,2,"強勢股, 盤整突破"
2457,飛宏,2,"強勢股, 盤整突破"
4533,協易機,2,"強勢股, 盤整突破"
4939,亞電,2,"大戶持有, 強勢股"
8933,愛地雅,2,"強勢股, 盤整突破"
8034,榮群,2,"大戶持有, 盤整突破"
6217,中探針,2,"大戶持有, 盤整突破"
