CB代號,CB名稱,個股現價,轉換價格,餘額比例(%),距轉換價差距(%),已發行/近期上市
61011,寬魚國際一,36.9,36.9,96.8,0.0,已發行CB
81552,博智二,339.0,338.0,100,0.3,已發行CB
35161,亞帝歐一,25.7,25.62,100,0.31,已發行CB
55344,長虹四,74.5,74.8,100,-0.4,已發行CB
41904,佐登四KY,25.95,26.1,100,-0.57,已發行CB
33763,新日興三,189.5,191.1,99.21,-0.84,已發行CB
44391,冠星一KY,95.3,96.3,96.48,-1.04,已發行CB
77431,金利食安一,22.25,22.5,100,-1.11,已發行CB
77431,金利食安一,22.25,22.5,100,-1.11,近期上市
84113,福貞三KY,13.0,13.2,100,-1.52,已發行CB
31413,晶宏三,92.1,93.6,7.35,-1.6,已發行CB
45554,氣立四,42.2,42.9,100,-1.63,已發行CB
24023,毅嘉三,54.2,53.3,100,1.69,已發行CB
53211,美而快一,83.8,85.3,2.15,-1.76,已發行CB
84762,台境二,19.9,19.5,89.96,2.05,已發行CB
23031,聯電一,142.5,146.0,100,-2.4,已發行CB
81473,正淩三,132.5,129.4,99.6,2.4,已發行CB
65852,鼎基二,103.5,106.1,37.2,-2.45,已發行CB
14722,三洋實業二,89.5,91.9,100,-2.61,已發行CB
65851,鼎基一,103.5,106.3,48.38,-2.63,已發行CB
15142,亞力二,102.0,105.1,100,-2.95,已發行CB
66241,萬年清一,39.0,40.3,31,-3.23,已發行CB
52845,jpp五KY,308.0,318.5,100,-3.3,已發行CB
74022,邑錡二,100.5,97.12,98.75,3.48,已發行CB
15602,中砂二,733.0,708.3,100,3.49,近期上市
15602,中砂二,733.0,708.3,100,3.49,已發行CB
65761,逸達一,81.1,84.3,100,-3.8,已發行CB
26462,星宇航空二,20.3,21.2,100,-4.25,近期上市
69131,鴻呈一,129.0,123.7,100,4.28,已發行CB
81114,立碁四,71.2,74.4,100,-4.3,已發行CB
24643,盟立三,193.5,202.3,100,-4.35,已發行CB
62822,康舒二,43.2,45.2,99.92,-4.42,已發行CB
24643,盟立三,193.5,202.8,100,-4.59,近期上市
35431,州巧一,42.15,44.2,100,-4.64,已發行CB
811211,至上11,85.9,90.1,100,-4.66,已發行CB
30166,嘉晶六,110.0,105.0,100,4.76,已發行CB
