股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1303,南亞,238.0,5,29378446,5875,245.0,220.5,11.11%
2027,大成鋼,47.35,5,4133755,826,47.65,44.95,6.01%
2303,聯電,138.5,5,59319667,11863,145.5,135.0,7.78%
2376,技嘉,343.0,5,3515241,703,358.5,341.5,4.98%
2382,廣達,333.0,5,12620156,2524,344.0,328.5,4.72%
2481,強茂,153.5,4,7778600,1555,164.0,146.0,12.33%
2542,興富發,45.25,5,12706490,2541,48.35,44.85,7.80%
2603,長榮,240.5,4,9577587,1915,245.5,230.5,6.51%
2610,華航,20.15,4,4105765,821,20.35,19.9,2.26%
2618,長榮航,41.75,4,16024500,3204,42.35,40.85,3.67%
2633,台灣高鐵,25.85,5,4957605,991,26.15,25.85,1.16%
2801,彰銀,28.0,4,31537184,6307,28.65,26.5,8.11%
2855,統一證,51.5,5,5073016,1014,53.5,50.5,5.94%
2884,玉山金,45.65,5,26686760,5337,46.5,43.8,6.16%
2886,兆豐金,51.8,4,7649025,1529,52.9,49.4,7.09%
2887,台新金,43.4,4,22864779,4572,43.8,41.55,5.42%
2890,永豐金,44.55,4,31859824,6371,45.2,42.55,6.23%
2891,中信金,69.7,4,17468774,3493,69.9,66.0,5.91%
2892,第一金,39.55,4,18317745,3663,40.4,37.15,8.75%
3036,文曄,192.5,4,3007917,601,196.5,188.0,4.52%
3105,穩懋,454.0,5,3518100,703,478.0,420.0,13.81%
3231,緯創,182.5,5,9240019,1848,192.0,179.5,6.96%
4763,材料-KY,50.5,4,2839282,567,50.5,44.9,12.47%
8028,昇陽半導體,226.5,4,4380000,876,240.5,216.5,11.09%
9904,寶成,24.25,5,9741862,1948,24.65,24.0,2.71%
