排名,股票代碼,公司名稱,公司產業,上市櫃,今日主力買超(張),5日累積買超(張)
1,2609,陽明,航運業,上市,20159,53267
2,2891,中信金,金融保險業,上市,6573,39289
3,2412,中華電,通信網路業,上市,7431,32824
4,2892,第一金,金融保險業,上市,8327,31039
5,2371,大同,電機機械,上市,13993,17185
6,2880,華南金,金融保險業,上市,2190,15452
7,6168,宏齊,光電業,上市,6032,12710
8,2615,萬海,航運業,上市,6136,12600
9,5483,中美晶,半導體業,上櫃,3654,9192
10,2382,廣達,電腦及週邊設備業,上市,3673,8912
11,5876,上海商銀,金融保險業,上市,1266,8413
12,1727,中華化,化學工業,上市,6220,8206
13,2354,鴻準,其他電子業,上市,971,7697
14,3045,台灣大,通信網路業,上市,163,6212
15,1709,和益,化學工業,上市,2624,5296
16,2103,台橡,橡膠工業,上市,3497,5059
17,9933,中鼎,其他業,上市,114,5000
18,6226,光鼎,光電業,上市,72,4911
19,3105,穩懋,半導體業,上櫃,859,4863
20,9945,潤泰新,其他業,上市,2306,3447
21,2484,希華,電子零組件業,上市,466,3082
22,8227,巨有科技,半導體業,上櫃,166,2983
23,1313,聯成,塑膠工業,上市,2360,2623
24,2474,可成,其他電子業,上市,829,2218
25,9904,寶成,運動休閒,上市,3619,2154
26,2493,揚博,電子零組件業,上市,1589,1986
27,4961,天鈺,半導體業,上市,524,1803
28,2395,研華,電腦及週邊設備業,上市,244,1738
29,2347,聯強,電子通路業,上市,351,1425
30,2520,冠德,建材營造業,上市,940,1390
31,2034,允強,鋼鐵工業,上市,917,1234
32,8050,廣積,電腦及週邊設備業,上櫃,653,1104
33,5608,四維航,航運業,上市,626,1024
34,5269,祥碩,半導體業,上市,191,883
35,3014,聯陽,半導體業,上市,304,822
36,6271,同欣電,半導體業,上市,337,749
37,8936,國統,其他業,上櫃,158,733
38,2419,仲琦,通信網路業,上市,412,648
39,6199,天品,其他業,上櫃,252,631
40,6021,美好證,金融保險業,上櫃,109,540
41,6588,東典光電,通信網路業,上櫃,45,537
