股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1303,南亞,221.5,5,5295638,1059,245.5,220.5,11.34%
2027,大成鋼,45.0,4,4258000,851,49.6,44.95,10.34%
2303,聯電,138.5,5,33068644,6613,145.5,135.0,7.78%
2542,興富發,45.25,5,4697900,939,48.35,44.85,7.80%
2603,長榮,233.5,5,8414495,1682,237.0,227.0,4.41%
2633,台灣高鐵,25.85,5,2914000,582,26.15,25.85,1.16%
2637,慧洋-KY,96.9,4,3903440,780,104.0,95.9,8.45%
2801,彰銀,28.0,5,24032825,4806,28.65,26.5,8.11%
2855,統一證,51.5,5,7307229,1461,53.5,50.5,5.94%
2883,凱基金,38.15,4,10936448,2187,39.0,36.0,8.33%
2884,玉山金,45.65,5,20773331,4154,46.5,43.8,6.16%
2886,兆豐金,51.8,4,17403253,3480,52.9,49.4,7.09%
2887,台新金,43.4,5,42016007,8403,43.8,41.55,5.42%
2890,永豐金,44.55,5,18209668,3641,45.2,42.55,6.23%
2891,中信金,69.7,5,10311119,2062,69.9,66.0,5.91%
2892,第一金,39.55,5,24712956,4942,40.4,37.15,8.75%
3105,穩懋,454.0,5,6149000,1229,478.0,420.0,13.81%
6505,台塑化,82.9,4,11759947,2351,90.6,80.0,13.25%
