公司名稱,股票代碼,最新收盤價,標的債券,債券代號,轉換價格,差異百分比,股票成交量,股票5MA,可轉債成交量,可轉債5MA
汎德業,2247,282.5,汎德永業一,22471,282.8,0.11,372003,130270.0,54,26.0
汎德業,2247,282.5,汎德永業二,22472,273.8,-3.08,372003,130270.0,71,22.0
意德士一,7556,173.5,意德士一永,75561,180.9,4.27,241612,68302.0,14,6.0
