股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1216,統一,78.2,5,11373269,2274,79.0,75.5,4.64%
1402,遠東新,27.25,4,5764378,1152,27.75,26.7,3.93%
2317,鴻海,237.0,5,3661776,732,259.5,231.0,12.34%
2382,廣達,309.5,5,4864436,972,337.5,301.5,11.94%
2542,興富發,43.25,5,6901600,1380,44.95,42.5,5.76%
2610,華航,21.7,5,8038205,1607,22.4,20.2,10.89%
2801,彰銀,24.45,5,11171294,2234,24.85,24.0,3.54%
2880,華南金,41.8,5,25954686,5190,42.5,39.65,7.19%
2881,富邦金,123.0,4,6125031,1225,130.0,120.5,7.88%
2882,國泰金,94.1,4,5620684,1124,98.5,92.5,6.49%
2883,凱基金,29.15,4,8344087,1668,31.3,28.5,9.82%
2884,玉山金,36.5,5,3074025,614,36.9,35.05,5.28%
2885,元大金,62.2,5,13896228,2779,64.8,60.7,6.75%
2886,兆豐金,49.9,5,16277933,3255,50.5,47.1,7.22%
2887,台新金,32.6,4,20709235,4141,35.0,32.25,8.53%
2890,永豐金,38.6,5,12896097,2579,39.8,37.6,5.85%
2891,中信金,62.0,5,17237267,3447,64.8,60.8,6.58%
2892,第一金,34.8,5,12569424,2513,35.1,33.4,5.09%
2912,統一超,241.0,5,3652405,730,242.0,232.0,4.31%
3231,緯創,169.5,5,21282839,4256,184.0,164.0,12.20%
3706,神達,85.3,5,2646000,529,92.6,83.5,10.90%
5871,中租-KY,112.5,4,5088488,1017,123.0,110.5,11.31%
