公司名稱,股票代碼,最新收盤價,標的債券,債券代號,轉換價格,差異百分比,股票成交量,股票5MA,可轉債成交量,可轉債5MA
高鋒,4510,49.15,高鋒二,45102,48.41,-1.51,19463246,8494001.0,97,47.0
碩禾,3691,114.5,碩禾三,36913,118.0,3.06,6637439,2893029.0,466,217.0
亞力,1514,114.0,亞力二,15142,109.2,-4.21,28287584,13575770.0,336,138.0
