排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,航運,1.5,80.0,12/15,25.36,26.7,5.64,9.17
2,鋼鐵,-0.38,46.67,7/15,11.88,23.51,1.67,4.03
3,廠務系統與水處理,-1.09,28.57,2/7,-0.41,-0.79,-0.5,-1.24
4,造紙,-0.04,28.57,2/7,0.1,0.37,-0.06,-0.12
5,機器人,-1.04,21.43,3/14,29.42,-75.2,1.76,-15.44
6,BBU_電源供應器與整合,-2.13,20.0,1/5,15.1,-116.25,3.49,-7.59
7,無塵室與機電工程,-2.8,20.0,1/5,-2.03,-31.86,-0.09,-0.65
8,IC設計,-2.28,15.38,2/13,36.22,-39.54,28.77,66.16
9,紡織,-0.61,15.0,3/20,-0.24,-2.25,0.71,2.33
10,半導體設備,-1.64,14.29,1/7,4.44,5.98,2.74,6.43
11,軍工_無人機相關,-3.15,12.5,1/8,44.1,-12.89,19.78,56.1
12,塑膠,-1.53,11.11,2/18,-12.46,8.43,0.1,17.34
13,被動元件,-4.4,10.53,2/19,7.37,-183.65,-0.62,-45.54
14,金融,-1.51,10.53,2/19,-12.46,8.44,0.1,17.34
15,化學,-2.25,10.0,2/20,-16.1,8.76,1.77,20.98
16,銅,-3.59,10.0,1/10,-8.68,-55.22,-9.71,-19.34
17,電器電纜,-1.74,10.0,1/10,-3.51,0.86,-0.21,1.01
18,玻璃,-3.21,6.67,1/15,9.26,94.6,-22.87,-79.68
19,網通設備組件,-3.49,5.0,1/20,72.24,9.12,21.3,43.15
20,電池或電源,-2.63,5.0,1/20,11.81,-114.72,-2.31,-15.73
21,工業自動化與機器人,-2.11,0.0,0/7,-5.19,1.44,-0.32,-3.91
22,軟體設計,-1.33,0.0,0/15,-2.29,-1.97,0.34,0.63
23,CPO_先進封裝測試,-3.56,0.0,0/5,-32.79,-64.14,15.54,36.32
24,CPO_光通訊,-4.87,0.0,0/6,42.23,60.63,7.44,7.16
25,PCB,-5.9,0.0,0/15,-108.98,-103.35,-81.09,-70.6
26,銀,-4.83,0.0,0/4,-33.42,-68.89,-2.89,-35.85
27,TPU_伺服器主板與印刷電路板,-4.6,0.0,0/5,8.5,-43.36,-37.19,-42.52
28,TPU_光通訊與連接器,-3.14,0.0,0/4,24.87,34.0,-8.84,-39.55
29,軍工_航太製造與維修,-3.3,0.0,0/6,-1.51,-5.55,-0.03,0.06
30,光學元件或組裝,-6.22,0.0,0/15,-11.41,13.17,3.18,34.95
31,TPU_散熱,-2.72,0.0,0/4,15.48,74.69,-5.47,-25.18
32,記憶體製造,-5.5,0.0,0/4,-240.01,-570.76,-9.58,-37.59
33,記憶體模組,-3.61,0.0,0/7,-31.78,-41.87,-1.18,-4.36
34,記憶體控制IC,-21.83,0.0,0/5,-4.49,-24.23,0.33,0.59
35,記憶體封裝與測試,-2.02,0.0,0/4,0.38,17.84,-0.32,0.3
36,低軌衛星,-3.27,0.0,0/7,-3.19,-24.45,-7.0,-7.41
37,BBU_電池模組,-2.81,0.0,0/7,-0.56,-3.3,-5.14,-8.1
