CB代號,CB名稱,個股現價,轉換價格,餘額比例(%),距轉換價差距(%),已發行/近期上市
44391,冠星一KY,96.2,96.3,96.48,-0.1,已發行CB
15602,中砂二,711.0,708.3,100,0.38,已發行CB
15602,中砂二,711.0,708.3,100,0.38,近期上市
811211,至上11,89.3,90.1,100,-0.89,已發行CB
41904,佐登四KY,25.8,26.1,100,-1.15,已發行CB
24867,一詮七,259.5,256.0,100,1.37,已發行CB
52845,jpp五KY,323.0,318.5,100,1.41,已發行CB
17172,長興二,76.8,75.7,100,1.45,已發行CB
84762,台境二,19.2,19.5,90,-1.54,已發行CB
35431,州巧一,44.9,44.2,100,1.58,已發行CB
68211,聯寶一,41.4,42.19,41.5,-1.87,已發行CB
35161,亞帝歐一,26.15,25.62,100,2.07,已發行CB
61011,寬魚國際一,37.7,36.9,96.8,2.17,已發行CB
81473,正淩三,126.5,129.4,99.6,-2.24,已發行CB
84113,福貞三KY,12.9,13.2,100,-2.27,已發行CB
55344,長虹四,76.6,74.8,100,2.41,已發行CB
45102,高鋒二,47.05,48.41,94.72,-2.81,已發行CB
82103,勤誠三,948.0,975.6,100,-2.83,已發行CB
81552,博智二,348.0,338.0,100,2.96,已發行CB
61012,寬魚國際二,37.7,38.9,71.16,-3.08,已發行CB
77431,金利食安一,21.8,22.5,100,-3.11,已發行CB
66241,萬年清一,39.3,40.6,31,-3.2,已發行CB
81114,立碁四,72.0,74.4,100,-3.23,已發行CB
26418,正德八,18.1,18.82,92.08,-3.83,已發行CB
30454,台灣大四,118.0,113.5,99.71,3.96,已發行CB
14722,三洋實業二,88.2,91.9,100,-4.03,已發行CB
35122,皇龍二,19.65,20.5,100,-4.15,已發行CB
27532,八方雲集二,180.0,187.9,100,-4.2,已發行CB
35513,世禾三,176.0,168.8,100,4.27,已發行CB
23032,聯電二,125.0,130.7,100,-4.36,已發行CB
23032,聯電二,125.0,130.7,100,-4.36,近期上市
15142,亞力二,100.5,105.1,100,-4.38,已發行CB
45811,光隆精密一KY,48.0,50.2,100,-4.38,已發行CB
62822,康舒二,43.2,45.2,99.92,-4.42,已發行CB
65761,逸達一,80.3,84.3,100,-4.74,已發行CB
65851,鼎基一,111.5,106.3,48.64,4.89,已發行CB
82102,勤誠二,948.0,997.3,100,-4.94,已發行CB
