公司名稱,股票代碼,最新收盤價,標的債券,債券代號,轉換價格,差異百分比,股票成交量,股票5MA,可轉債成交量,可轉債5MA
鴻碩,3092,36.8,鴻碩二,30922,36.0,-2.17,11747466,5041986.0,68,30.0
天品,6199,99.9,天品三,61993,104.6,4.7,329837,156059.0,27,9.0
