股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1409,新纖,16.6,9.57%,22667,3.03
1582,信錦,94.5,23.37%,11690,2.85
1708,東鹼,44.0,15.49%,24099,5.62
1711,永光,39.05,33.96%,72233,2.38
1785,光洋科,90.6,48.52%,12399,2.68
2347,聯強,78.6,13.09%,19224,1.55
2481,強茂,104.0,13.04%,46186,1.58
2485,兆赫,75.0,37.87%,80602,2.01
2605,新興,40.6,7.27%,80759,2.17
3209,全科,44.8,27.27%,10615,4.7
3380,明泰,36.45,2.82%,12411,2.45
3702,大聯大,90.0,33.33%,38712,1.87
3714,富采,48.15,26.38%,38171,4.21
4938,和碩,78.2,10.45%,17562,2.33
4956,光鋐,32.65,32.19%,19792,3.98
4960,誠美材,26.15,80.97%,39772,3.47
5351,鈺創,77.1,45.2%,65657,2.25
6147,頎邦,65.4,23.63%,37999,4.55
6197,佳必琪,191.5,27.67%,13840,3.66
6213,聯茂,154.0,14.93%,26784,1.58
6509,聚和,45.75,13.52%,19887,4.2
6531,愛普*,580.0,37.44%,12779,2.2
8064,東捷,65.8,39.41%,17987,1.88
8112,至上,91.5,32.99%,56472,1.88
