股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1301,台塑,51.0,26.87%,191580,2.43
1319,東陽,115.0,20.17%,12412,1.57
1326,台化,40.55,30.81%,116619,1.82
1455,集盛,10.3,33.25%,12950,5.95
1471,首利,14.65,53.73%,15202,6.94
1524,耿鼎,35.75,21.19%,15262,3.14
1710,東聯,13.85,9.06%,22492,3.58
1795,美時,345.0,17.75%,11840,1.89
2049,上銀,256.5,26.35%,27464,3.3
2303,聯電,76.2,38.8%,502571,3.04
2363,矽統,60.5,23.34%,41256,5.13
2367,燿華,50.1,43.55%,268887,4.28
2419,仲琦,34.15,14.6%,12610,1.71
2431,聯昌,17.65,49.58%,12333,4.88
2454,聯發科,1775.0,19.53%,12659,1.75
2486,一詮,127.5,41.98%,41437,1.9
2610,華航,22.9,12.53%,49974,1.54
3037,欣興,354.0,39.37%,68458,1.55
3234,光環,56.9,31.26%,10316,3.28
3374,精材,192.5,8.76%,25611,2.28
4533,協易機,38.0,66.3%,18312,6.21
4714,永捷,18.4,5.75%,14147,2.69
4916,事欣科,69.7,12.42%,35546,2.76
5347,世界,159.5,35.74%,40282,2.11
5392,能率,50.8,9.96%,12833,2.06
6168,宏齊,23.9,18.91%,13329,4.99
6271,同欣電,156.5,22.75%,11387,4.54
6285,啟碁,160.0,49.53%,37338,4.95
6415,矽力*-KY,287.5,26.1%,17677,2.51
6443,元晶,41.65,11.07%,65317,2.85
6446,藥華藥,722.0,39.38%,14408,2.7
