股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1727,中華化,70.7,26.93%,24145,2.57
2399,映泰,43.65,27.63%,49139,2.9
2436,偉詮電,79.5,29.06%,44505,5.05
2454,聯發科,2435.0,54.6%,22985,1.91
2476,鉅祥,123.5,23.62%,13055,3.48
3209,全科,54.5,24.71%,13248,2.15
4720,德淵,27.35,46.65%,12006,3.39
4958,臻鼎-KY,347.5,31.13%,102168,2.22
5871,中租-KY,121.5,13.55%,12124,1.61
6190,萬泰科,74.5,17.69%,36805,2.17
6234,高僑,43.85,46.9%,23469,5.05
6261,久元,95.1,20.08%,12229,5.53
6290,良維,317.0,43.44%,32700,1.96
6672,騰輝電子-KY,210.5,40.33%,13349,2.7
6789,采鈺,566.0,68.2%,19370,2.37
8028,昇陽半導體,242.0,21.61%,23754,2.68
