股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
2105,正新,32.1,5,14917315,2983,33.6,31.7,5.99%
2347,聯強,82.6,5,10070675,2014,85.4,80.2,6.48%
2353,宏碁,27.65,4,14045765,2809,29.2,27.15,7.55%
2356,英業達,48.1,4,8487942,1697,48.55,45.3,7.17%
2385,群光,125.0,5,2984328,596,129.0,122.0,5.74%
2603,長榮,201.5,5,3646766,729,204.5,196.0,4.34%
2606,裕民,60.9,5,3203099,640,65.0,60.4,7.62%
2618,長榮航,33.75,5,23078206,4615,35.5,33.55,5.81%
2885,元大金,49.95,5,18799906,3759,51.9,49.8,4.22%
3045,台灣大,113.0,5,3638516,727,115.5,111.0,4.05%
3231,緯創,141.5,5,5625068,1125,146.0,135.0,8.15%
4904,遠傳,96.6,5,7323703,1464,98.5,94.4,4.34%
4938,和碩,84.3,5,7709291,1541,86.0,82.0,4.88%
5876,上海商銀,39.8,5,18232273,3646,40.0,39.45,1.39%
6005,群益證,28.25,4,15539981,3107,28.8,27.4,5.11%
9904,寶成,26.6,4,11844653,2368,27.9,26.5,5.28%
9910,豐泰,73.0,5,3749697,749,79.0,72.5,8.97%
