公司名稱,股票代碼,最新收盤價,標的債券,債券代號,轉換價格,差異百分比,股票成交量,股票5MA,可轉債成交量,可轉債5MA
大豐電,6184,48.5,大豐電三,61843,49.4,1.86,250968,92269.0,16,6.0
偉詮電,2436,54.7,偉詮電一,24361,53.3,-2.56,12246978,4872245.0,138,42.0
辛耘,3583,351.0,辛耘二,35832,337.4,-3.87,1977347,724278.0,60,29.0
五福,2745,107.0,五福一,27451,111.3,4.02,604544,291856.0,72,22.0
