股票代碼,公司名稱,符合策略數,符合策略
2883,凱基金,3,"外資買超, 強勢股, 投信連續"
3576,聯合再生,3,"外資買超, 大戶持有, 強勢股"
4977,眾達-KY,3,"外資買超, 大戶持有, 強勢股"
3450,聯鈞,3,"外資買超, 大戶持有, 強勢股"
3481,群創,2,"外資買超, 大戶持有"
2409,友達,2,"外資買超, 強勢股"
2344,華邦電,2,"外資買超, 投信連續"
1326,台化,2,"外資買超, 強勢股"
6443,元晶,2,"外資買超, 大戶持有"
2105,正新,2,"外資買超, 盤整突破"
2605,新興,2,"外資買超, 大戶持有"
2455,全新,2,"外資買超, 強勢股"
8028,昇陽半導體,2,"外資買超, 大戶持有"
6187,萬潤,2,"外資買超, 大戶持有"
2316,楠梓電,2,"外資買超, 盤整突破"
8358,金居,2,"外資買超, 大戶持有"
2880,華南金,2,"強勢股, 投信連續"
2890,永豐金,2,"強勢股, 投信連續"
2489,瑞軒,2,"大戶持有, 強勢股"
4927,泰鼎-KY,2,"大戶持有, 強勢股"
6152,百一,2,"大戶持有, 強勢股"
6244,茂迪,2,"大戶持有, 強勢股"
6290,良維,2,"大戶持有, 強勢股"
